mjd,flux_jy,flux_err_jy,band,series_label,description,source,source_url,data_kind
59217.1055,0.41295000000000004,0.02250000000000002,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59249.902633333324,0.42596666666666666,0.06535000000000002,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59266.02833333334,0.3933,0.026499999999999968,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59279.93875,0.39085000000000003,0.024600000000000066,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59297.13390000001,0.35131666666666667,0.013466666666666682,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59331.85875,0.311675,0.017249999999999988,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59391.6642,0.3336,0.030444298494421984,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59401.92623333334,0.44566666666666666,0.04140000000000005,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59460.54578,0.40641162499620004,0.04399066848531119,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59476.6115,0.49055,0.04054379625172605,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59511.493749999994,0.46835,0.01787500000000003,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59524.1839,0.4373,0.016488810490332628,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59557.213260000004,0.39554,0.016180000000000028,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59569.4041,0.27905,0.023764527981849304,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59586.05295,0.5289606260525612,0.05364857705166037,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
