source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,wcda_n0,wcda_n0_err,N0,N0_err,F0,F0_err,F0_order,TS,fit_status
Mkn421,day,2021-06-01_2021-06-01,59366.5,2021-06-01,2021-06-01,6,2.6,3.0,5.933e-14,1.1861e-13,5.933e-14,1.1861e-13,0.05933,0.11861,1e-12,0.29,OK
Mkn421,day,2021-06-02_2021-06-02,59367.5,2021-06-02,2021-06-02,6,2.6,3.0,0.0,2.7221e-13,0.0,2.7221e-13,0.0,0.27221,1e-12,0.0,OK
Mkn421,day,2021-06-03_2021-06-03,59368.5,2021-06-03,2021-06-03,6,2.6,3.0,3.0045e-13,1.5122e-13,3.0045e-13,1.5122e-13,0.30045,0.15122,1e-12,5.08,OK
Mkn421,day,2021-06-04_2021-06-04,59369.5,2021-06-04,2021-06-04,6,2.6,3.0,7.531e-14,1.4892e-13,7.531e-14,1.4892e-13,0.07531,0.14892,1e-12,0.26,OK
Mkn421,day,2021-06-05_2021-06-05,59370.5,2021-06-05,2021-06-05,6,2.6,3.0,1.5635e-13,1.045e-13,1.5635e-13,1.045e-13,0.15635,0.1045,1e-12,3.56,OK
Mkn421,day,2021-06-06_2021-06-06,59371.5,2021-06-06,2021-06-06,6,2.6,3.0,3.4282e-13,1.3496e-13,3.4282e-13,1.3496e-13,0.34282,0.13496,1e-12,10.38,OK
Mkn421,day,2021-06-07_2021-06-07,59372.5,2021-06-07,2021-06-07,6,2.6,3.0,2.488e-13,1.3371e-13,2.488e-13,1.3371e-13,0.2488,0.13371,1e-12,5.1,OK
Mkn421,day,2021-06-08_2021-06-08,59373.5,2021-06-08,2021-06-08,6,2.6,3.0,5.5955e-13,1.5699e-13,5.5955e-13,1.5699e-13,0.55955,0.15699,1e-12,18.14,OK
Mkn421,day,2021-06-09_2021-06-09,59374.5,2021-06-09,2021-06-09,6,2.6,3.0,4.1517e-13,1.4054e-13,4.1517e-13,1.4054e-13,0.41517,0.14054,1e-12,14.59,OK
Mkn421,day,2021-06-10_2021-06-10,59375.5,2021-06-10,2021-06-10,6,2.6,3.0,5.5967e-13,1.5074e-13,5.5967e-13,1.5074e-13,0.55967,0.15074,1e-12,21.07,OK
Mkn421,day,2021-06-11_2021-06-11,59376.5,2021-06-11,2021-06-11,6,2.6,3.0,7.5343e-13,1.6543e-13,7.5343e-13,1.6543e-13,0.75343,0.16543,1e-12,31.2,OK
Mkn421,day,2021-06-12_2021-06-12,59377.5,2021-06-12,2021-06-12,6,2.6,3.0,3.2619e-13,1.4368e-13,3.2619e-13,1.4368e-13,0.32619,0.14368,1e-12,6.43,OK
