mjd,fermi_flux,fermi_flux_err
59900.5,2.3341428e-07,2.8841164e-08
59907.5,1.7023214e-07,8.395531e-09
59914.5,3.0845345e-07,3.573072e-08
59921.5,2.459939e-07,3.5329656e-08
59928.5,2.3507451e-07,3.461335e-08
59935.5,2.4741576e-07,3.216223e-08
59942.5,3.1158984e-07,1.7533157e-08
59949.5,3.1865673e-07,4.618338e-08
59956.5,2.5857892e-07,2.1350516e-08
59963.5,1.824552e-07,3.849251e-08
59970.5,3.0134882e-07,4.6259633e-08
59977.5,2.9442216e-07,3.973359e-08
59984.5,1.9823774e-07,3.09636e-08
59991.5,2.1817621e-07,4.5053905e-08
60005.5,2.1353985e-07,4.6433502e-08
60012.5,1.3827949e-07,3.102053e-08
60019.5,2.0597962e-07,3.1572977e-08
60026.5,2.3198686e-07,1.7362856e-08
60033.5,1.9513699e-07,3.3673814e-08
60040.5,2.991831e-07,3.8724522e-08
60047.5,1.8878438e-07,3.1261916e-08
60054.5,2.81492e-07,3.9300556e-08
60061.5,3.4012075e-07,3.5569947e-08
60068.5,1.7253775e-07,2.4281391e-08
60075.5,3.4324069e-07,3.6810366e-08
60082.5,2.4678275e-07,3.8052914e-08
60089.5,1.9970146e-07,3.1902513e-08
60096.5,1.9089212e-07,3.1392265e-08
60103.5,1.7027065e-07,2.8046637e-08
60110.5,2.1977408e-07,2.9157627e-08
60117.5,2.7939925e-07,3.368552e-08
60124.5,1.6904586e-07,3.2597153e-08
60131.5,2.2013518e-07,3.8636173e-08
60138.5,1.8658862e-07,3.1445044e-08
60145.5,2.9312795e-07,4.159781e-08
60152.5,3.525714e-07,6.252703e-08
60159.5,2.1731587e-07,4.4119048e-08
60166.5,2.672218e-07,6.299762e-08
60173.5,2.2752289e-07,3.8419103e-08
60180.5,2.3381295e-07,3.7614683e-08
60187.5,1.485625e-07,3.0144488e-08
60194.5,2.3425748e-07,1.4845761e-08
60201.5,2.499127e-07,3.4578445e-08
60208.5,2.0735496e-07,3.1996013e-08
60215.5,2.943748e-07,3.7647673e-08
60222.5,2.0657987e-07,3.0689385e-08
60229.5,2.853525e-07,2.8999107e-08
60236.5,2.4067344e-07,2.5734849e-08
60243.5,2.7073142e-07,3.4642685e-08
60250.5,2.0778837e-07,1.1807489e-08
60257.5,3.1872105e-07,4.1065327e-08
60264.5,1.958917e-07,3.2936846e-08
60271.5,3.3441185e-07,3.2959424e-08
60278.5,2.666491e-07,2.9680711e-08
60285.5,2.5198986e-07,3.2192926e-08
