source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,wcda_n0,wcda_n0_err,N0,N0_err,F0,F0_err,F0_order,TS,fit_status
Mkn421,week,2022-07-18_2022-07-24,59781.5,2022-07-18,2022-07-24,42,2.6,3.0,8.8225e-13,6.608e-14,8.8225e-13,6.608e-14,0.88225,0.06608,1e-12,272.49,OK
Mkn421,week,2022-07-25_2022-07-31,59788.5,2022-07-25,2022-07-31,42,2.6,3.0,6.5442e-13,6.267e-14,6.5442e-13,6.267e-14,0.65442,0.06267,1e-12,156.82,OK
Mkn421,week,2022-08-01_2022-08-07,59795.5,2022-08-01,2022-08-07,41,2.6,3.0,1.12543e-12,6.933e-14,1.12543e-12,6.933e-14,1.12543,0.06933,1e-12,416.05,OK
Mkn421,week,2022-08-08_2022-08-14,59802.5,2022-08-08,2022-08-14,42,2.6,3.0,1.59064e-12,7.35e-14,1.59064e-12,7.35e-14,1.59064,0.0735,1e-12,825.01,OK
Mkn421,week,2022-08-15_2022-08-21,59809.5,2022-08-15,2022-08-21,42,2.6,3.0,4.5161e-13,5.999e-14,4.5161e-13,5.999e-14,0.45161,0.05999,1e-12,80.3,OK
Mkn421,week,2022-08-22_2022-08-28,59816.5,2022-08-22,2022-08-28,41,2.6,3.0,5.4125e-13,6.136e-14,5.4125e-13,6.136e-14,0.54125,0.06136,1e-12,123.85,OK
Mkn421,week,2022-08-29_2022-09-04,59823.5,2022-08-29,2022-09-04,42,2.6,3.0,3.158e-13,5.682e-14,3.158e-13,5.682e-14,0.3158,0.05682,1e-12,41.91,OK
Mkn421,week,2022-09-05_2022-09-11,59830.5,2022-09-05,2022-09-11,41,2.6,3.0,4.707e-13,5.765e-14,4.707e-13,5.765e-14,0.4707,0.05765,1e-12,95.14,OK
Mkn421,week,2022-09-12_2022-09-18,59837.5,2022-09-12,2022-09-18,39,2.6,3.0,5.7835e-13,6.496e-14,5.7835e-13,6.496e-14,0.57835,0.06496,1e-12,124.87,OK
Mkn421,week,2022-09-19_2022-09-25,59844.5,2022-09-19,2022-09-25,41,2.6,3.0,6.0026e-13,6.445e-14,6.0026e-13,6.445e-14,0.60026,0.06445,1e-12,134.24,OK
Mkn421,week,2022-09-26_2022-10-02,59851.5,2022-09-26,2022-10-02,36,2.6,3.0,1.26296e-12,8.382e-14,1.26296e-12,8.382e-14,1.26296,0.08382,1e-12,366.1,OK
Mkn421,week,2022-10-03_2022-10-09,59858.5,2022-10-03,2022-10-09,42,2.6,3.0,1.69208e-12,7.283e-14,1.69208e-12,7.283e-14,1.69208,0.07283,1e-12,947.27,OK
Mkn421,week,2022-10-10_2022-10-16,59865.5,2022-10-10,2022-10-16,42,2.6,3.0,1.37159e-12,7.413e-14,1.37159e-12,7.413e-14,1.37159,0.07413,1e-12,555.09,OK
Mkn421,week,2022-10-17_2022-10-23,59872.5,2022-10-17,2022-10-23,38,2.6,3.0,1.82739e-12,7.633e-14,1.82739e-12,7.633e-14,1.82739,0.07633,1e-12,993.0,OK
Mkn421,week,2022-10-24_2022-10-30,59879.5,2022-10-24,2022-10-30,41,2.6,3.0,1.40638e-12,7.084e-14,1.40638e-12,7.084e-14,1.40638,0.07084,1e-12,667.33,OK
Mkn421,week,2022-10-31_2022-11-06,59886.5,2022-10-31,2022-11-06,42,2.6,3.0,8.4811e-13,6.592e-14,8.4811e-13,6.592e-14,0.84811,0.06592,1e-12,251.55,OK
Mkn421,week,2022-11-07_2022-11-13,59893.5,2022-11-07,2022-11-13,42,2.6,3.0,5.8835e-13,5.885e-14,5.8835e-13,5.885e-14,0.58835,0.05885,1e-12,149.26,OK
Mkn421,week,2022-11-14_2022-11-20,59900.5,2022-11-14,2022-11-20,42,2.6,3.0,8.0624e-13,6.585e-14,8.0624e-13,6.585e-14,0.80624,0.06585,1e-12,224.8,OK
Mkn421,week,2022-11-21_2022-11-27,59907.5,2022-11-21,2022-11-27,42,2.6,3.0,9.5159e-13,6.801e-14,9.5159e-13,6.801e-14,0.95159,0.06801,1e-12,298.31,OK
Mkn421,week,2022-11-28_2022-12-04,59914.5,2022-11-28,2022-12-04,42,2.6,3.0,2.79237e-12,8.275e-14,2.79237e-12,8.275e-14,2.79237,0.08275,1e-12,2247.81,OK
Mkn421,week,2022-12-05_2022-12-11,59921.5,2022-12-05,2022-12-11,42,2.6,3.0,1.66238e-12,7.448e-14,1.66238e-12,7.448e-14,1.66238,0.07448,1e-12,851.99,OK
Mkn421,week,2022-12-12_2022-12-18,59928.5,2022-12-12,2022-12-18,42,2.6,3.0,1.12124e-12,7.02e-14,1.12124e-12,7.02e-14,1.12124,0.0702,1e-12,386.99,OK
Mkn421,week,2022-12-19_2022-12-25,59935.5,2022-12-19,2022-12-25,42,2.6,3.0,9.0818e-13,6.806e-14,9.0818e-13,6.806e-14,0.90818,0.06806,1e-12,265.93,OK
Mkn421,week,2022-12-26_2023-01-01,59942.5,2022-12-26,2023-01-01,37,2.6,3.0,1.8845e-12,8.421e-14,1.8845e-12,8.421e-14,1.8845,0.08421,1e-12,837.83,OK
