source_id,source,series,method,period_days,cycles,observed_statistic,statistic_name,null_model,local_fap,global_fap,local_confidence,global_confidence,reference_95,reference_99,above_95,above_99,n_surrogates,exceed_count,global_exceed_count,local_window_min_days,local_window_max_days,ar1_alpha,note
bllac,BL Lacertae,wcda_weekly,CWT,308.88417649424434,5.959623530278998,1.4974694092258738,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.3401954367559865,3.142788159757534,False,False,0,0,0,,,0.04680854475196371,Quick-look candidate peak; no source/method/survey trial correction.
bllac,BL Lacertae,wcda_weekly,WWZ,111.10738895516201,16.568055677276583,2.249345317845848,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.029970029970029972,0.4085914085914086,0.97002997002997,0.5914085914085914,1.8493247319016668,2.3446667639557615,True,False,1000,29,408,99.99665005964582,122.21812785067821,0.04680854475196371,Quick-look candidate peak; no source/method/survey trial correction.
bllac,BL Lacertae,wcda_weekly,WWZ,192.39367625522823,9.568055677276584,0.9439507587240461,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.6543456543456544,1.0,0.3456543456543456,0.0,2.073100223324744,2.559762565856308,False,False,1000,654,1000,173.1543086297054,211.63304388075107,0.04680854475196371,Quick-look candidate peak; no source/method/survey trial correction.
bllac,BL Lacertae,wcda_weekly,WWZ,303.36462027852355,6.068055677276583,1.5157380963682296,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.3086913086913087,0.8931068931068931,0.6913086913086913,0.10689310689310694,2.4176926844455493,3.240833838303315,False,False,1000,308,893,273.0281582506712,333.70108230637595,0.04680854475196371,Quick-look candidate peak; no source/method/survey trial correction.
ngc1275,NGC 1275,wcda_weekly,CWT,86.67769135952088,21.237683854898243,1.6298560917204619,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.6991474789298744,3.2394552801291945,False,False,0,0,0,,,0.2600703846336463,Quick-look candidate peak; no source/method/survey trial correction.
ngc1275,NGC 1275,wcda_weekly,CWT,173.35538271904176,10.618841927449122,3.0961747967120545,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,3.1411705266764534,3.9936785921119773,False,False,0,0,0,,,0.2600703846336463,Quick-look candidate peak; no source/method/survey trial correction.
ngc1275,NGC 1275,wcda_weekly,CWT,367.32726039871164,5.011426062873296,2.6646153162436,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,3.7920391994695666,5.178858987852342,False,False,0,0,0,,,0.2600703846336463,Quick-look candidate peak; no source/method/survey trial correction.
ngc1275,NGC 1275,wcda_weekly,WWZ,89.49963162535032,20.568055677276583,2.1005165705237414,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.2787212787212787,0.951048951048951,0.7212787212787213,0.04895104895104896,2.766634998932066,3.4882203020499083,False,False,1000,278,951,80.54966846281529,98.44959478788536,0.2600703846336463,Quick-look candidate peak; no source/method/survey trial correction.
ngc1275,NGC 1275,wcda_weekly,WWZ,174.18846593741048,10.568055677276583,2.833325199188998,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.16583416583416583,0.7072927072927073,0.8341658341658342,0.2927072927072927,3.2014882401042084,4.358658449205208,False,False,1000,165,707,156.76961934366943,191.60731253115154,0.2600703846336463,Quick-look candidate peak; no source/method/survey trial correction.
ngc1275,NGC 1275,wcda_weekly,WWZ,363.2228064540831,5.068055677276583,2.7122080286274057,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.2047952047952048,0.7662337662337663,0.7952047952047951,0.23376623376623373,4.103743086185621,5.56346130565827,False,False,1000,204,766,326.90052580867484,399.54508709949147,0.2600703846336463,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_weekly,CWT,103.0777272767521,17.85869222187562,1.7071868013857197,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,1.977810362706703,2.4057031493346557,False,False,0,0,0,,,0.09290698854416321,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_weekly,CWT,218.41409580030265,8.428180423158379,0.9758552402455223,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.3515939273953106,3.0545109075058594,False,False,0,0,0,,,0.09290698854416321,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_weekly,CWT,389.1696759445418,4.730156330649656,2.2918728852063945,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.7220130327988423,3.738213910346259,False,False,0,0,0,,,0.09290698854416321,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_weekly,WWZ,104.78299022850759,17.568055677276583,2.043806422190756,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.0989010989010989,0.7002997002997003,0.9010989010989011,0.29970029970029965,2.068542654739919,2.609576468644261,False,False,1000,98,700,94.30469120565682,115.26128925135835,0.09290698854416321,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_weekly,WWZ,228.1632006519981,8.068055677276583,1.0243222960501541,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.6683316683316683,1.0,0.33166833166833165,0.0,2.543693330398055,3.470569154544117,False,False,1000,668,1000,205.34688058679828,250.97952071719791,0.09290698854416321,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_weekly,WWZ,402.9796343164169,4.5680556772765835,2.804090053276332,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.08491508491508491,0.3176823176823177,0.9150849150849151,0.6823176823176823,2.9825098361321745,4.114394658463697,False,False,1000,84,317,362.6816708847752,443.2775977480586,0.09290698854416321,Quick-look candidate peak; no source/method/survey trial correction.
4c_p42d22,4C +42.22,wcda_weekly,CWT,145.77394641148112,12.628000076020209,2.026599257703386,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.0550593316822208,2.574555510651436,False,False,0,0,0,,,0.07335926891148764,Quick-look candidate peak; no source/method/survey trial correction.
4c_p42d22,4C +42.22,wcda_weekly,WWZ,140.86513340824578,13.068055677276583,2.2819067667563497,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.057942057942057944,0.47152847152847155,0.942057942057942,0.5284715284715285,2.0834470825032727,2.730041396841081,True,False,1000,57,471,126.7786200674212,154.95164674907036,0.07335926891148764,Quick-look candidate peak; no source/method/survey trial correction.
ic310,IC 310,wcda_weekly,CWT,86.67769135952088,21.237683854898243,1.4107476230421454,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.3018438783542003,2.762620554814563,False,False,0,0,0,,,0.18443574998026283,Quick-look candidate peak; no source/method/survey trial correction.
ic310,IC 310,wcda_weekly,CWT,389.1696759445418,4.730156330649656,4.056774896398011,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,3.2810445859427677,4.505947019300676,True,False,0,0,0,,,0.18443574998026283,Quick-look candidate peak; no source/method/survey trial correction.
ic310,IC 310,wcda_weekly,WWZ,87.37557155553851,21.068055677276583,1.5598034540550265,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.4865134865134865,0.9920079920079921,0.5134865134865134,0.007992007992007943,2.2859330402927043,2.80532041247436,False,False,1000,486,992,78.63801439998467,96.11312871109237,0.18443574998026283,Quick-look candidate peak; no source/method/survey trial correction.
ic310,IC 310,wcda_weekly,WWZ,402.9796343164169,4.5680556772765835,4.337479406554889,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.01998001998001998,0.10789210789210789,0.98001998001998,0.8921078921078921,3.215963006832061,5.0088771917127,True,False,1000,19,107,362.6816708847752,443.2775977480586,0.18443574998026283,Quick-look candidate peak; no source/method/survey trial correction.
