# ra : 166.114
# dec : 38.209
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-11-29_2021-12-05,59550.16697291678,"[39495.0, 4583.0, 584.0, 60.0, 20.0, 2.0, 1.0]","[39666.283027436926, 4396.7511709743085, 433.77050598193466, 28.426563975261693, 7.169082893686054, 0.6356791034620144, 0.238685324051567]","[1290401878.0720592, 143278608.24391776, 14155588.793750763, 927813.1127862107, 235756.21845972168, 19755.403737739576, 7476.484976548313]",186266.0
2021-12-06_2021-12-12,59557.16690509248,"[42047.0, 4897.0, 578.0, 47.0, 13.0, 0.0, 0.0]","[41855.29659803378, 4702.929149824889, 470.99811486462085, 30.976515772564166, 7.518667303490596, 0.5842279065300292, 0.2815271018067775]","[1407821530.1009874, 158212703.0786231, 15838076.937301954, 1043108.3524900976, 253211.26581178565, 19553.709955721348, 9398.42861420262]",196213.6
2021-12-13_2021-12-19,59564.166788194445,"[43016.0, 4960.0, 566.0, 44.0, 19.0, 0.0, 1.0]","[42836.78586922549, 4780.49079940509, 471.34756969116705, 30.173459538514532, 7.275515160671616, 0.6087811404060481, 0.2338236201111179]","[1451038913.3691049, 161722726.49840096, 15943453.485852953, 1022812.0905284621, 246243.53018727727, 21122.451258567835, 7522.24261128754]",201288.5
2021-12-20_2021-12-26,59571.16683148157,"[44300.0, 5153.0, 639.0, 50.0, 13.0, 1.0, 0.0]","[43393.39196196676, 4864.717497198371, 490.38488923746445, 32.7235447499174, 7.881129504061853, 0.743556150393212, 0.31011374412965437]","[1495292628.846704, 167603955.12640285, 16900694.550277703, 1128615.8741475302, 272319.02905348694, 25755.36447709789, 10114.32145774964]",202040.1
2021-12-27_2022-01-02,59578.16677905083,"[43010.0, 5181.0, 679.0, 96.0, 30.0, 3.0, 0.0]","[42199.25017657863, 4723.738015611357, 472.2593348456763, 30.824339385466082, 7.82200710570469, 0.6995209182043232, 0.22429505852708662]","[1447160762.544556, 161896089.9076352, 16190725.907267109, 1059108.970096349, 269306.27375252463, 23879.835493585222, 7771.540073887465]",202092.3
2022-01-03_2022-01-09,59585.16683425926,"[41892.0, 4895.0, 623.0, 76.0, 17.0, 2.0, 0.0]","[40925.51624888473, 4562.24536688087, 452.73762082036166, 29.877369146009322, 7.450364633762062, 0.559330090499079, 0.20315907348238468]","[1385035744.2104602, 154483040.31530276, 15327311.626350895, 1013105.591597676, 252800.41933228355, 20307.282970671575, 6744.059593289925]",195119.3
2022-01-10_2022-01-16,59592.16679201393,"[44186.0, 5306.0, 695.0, 84.0, 29.0, 7.0, 1.0]","[43113.436205892416, 4815.359687833738, 476.3237288005217, 31.665261038515848, 7.328790279216542, 0.6786161323590642, 0.293245435970329]","[1486271281.6050894, 165998082.66525987, 16433984.422901284, 1092965.048238348, 253679.52410424897, 23007.557685542444, 10074.516917433804]",202159.3
2022-01-17_2022-01-23,59599.16700868019,"[44583.0, 5632.0, 924.0, 126.0, 68.0, 4.0, 1.0]","[43487.1428140458, 4839.656433570332, 482.38642887231083, 32.03371237385525, 7.757122751972931, 0.7204322236929885, 0.21446230497571173]","[1477359099.4902108, 164383569.71451628, 16378581.576554388, 1087108.0455810598, 262673.5564391635, 23627.804658903595, 7592.358395512565]",201716.6
2022-01-24_2022-01-30,59606.16685833294,"[44666.0, 5125.0, 636.0, 85.0, 19.0, 1.0, 1.0]","[44129.966435981216, 4914.649926477974, 481.1330106681553, 31.695164692783166, 7.651002649692363, 0.6792997329645567, 0.26006190822235364]","[1521112964.5881882, 169374763.70534742, 16594256.649550324, 1092168.5723172321, 262833.30255171604, 23105.917551461458, 8840.5157905575]",203088.6
2022-01-31_2022-02-06,59613.16693032354,"[43983.0, 5243.0, 640.0, 53.0, 19.0, 3.0, 0.0]","[43417.21945533045, 4863.638427562926, 483.09142209582075, 32.91980956863097, 8.225771233641035, 0.5793686690959642, 0.2391538006938255]","[1497738151.6585238, 167760248.9470959, 16656562.184108416, 1133971.5857267817, 282125.227599156, 20668.786905913585, 8718.732503934774]",203609.0
