mjd,flux,flux_err
57443.4999537037,3.2282384e-07,4.128495e-08
57450.4999537037,1.5237285e-07,3.0430144e-08
57457.4999537037,1.6905797e-07,3.0315476e-08
57464.4999537037,1.6390429e-07,3.365361e-08
57471.4999537037,1.16034215e-07,2.6240935e-08
57478.4999537037,1.988311e-07,3.622663e-08
57485.4999537037,1.1571124e-07,3.5848977e-08
57492.4999537037,1.51924e-07,3.9821487e-08
57499.4999537037,1.7997003e-07,3.491942e-08
57506.4999537037,2.1845443e-07,3.2493137e-08
57513.4999537037,2.1576541e-07,3.8598184e-08
57520.4999537037,1.555704e-07,2.6719334e-08
57527.4999537037,3.328958e-07,4.1749217e-08
57534.4999537037,2.4602946e-07,2.6951574e-09
57541.4999537037,1.7855295e-07,3.6252203e-08
57548.4999537037,2.883228e-07,2.1705548e-08
57555.4999537037,2.796537e-07,3.9290455e-08
57562.4999537037,1.8955502e-07,3.8189125e-08
57569.4999537037,1.6026725e-07,2.955444e-08
57576.4999537037,1.711569e-07,2.9828094e-08
57583.4999537037,1.7895083e-07,3.467744e-08
57590.4999537037,1.5299368e-07,3.3360873e-08
57597.4999537037,1.11187155e-07,2.733806e-08
57604.4999537037,4.8970134e-07,1.2249926e-07
57611.4999537037,2.6760063e-07,4.164653e-08
57618.4999537037,1.15189884e-07,3.0294967e-08
57625.4999537037,1.1736722e-07,2.854501e-08
57632.4999537037,1.3665628e-07,3.2904012e-08
57639.4999537037,7.154671e-08,2.2388582e-08
57646.4999537037,1.1131095e-07,1.7921051e-08
57653.4999537037,9.120114e-08,3.2278116e-08
57660.4999537037,1.4484587e-07,3.8126778e-08
57667.4999537037,1.05695996e-07,2.863693e-08
57674.4999537037,5.466828e-08,1.9622764e-08
57681.4999537037,1.2947785e-07,3.274927e-08
57688.4999537037,1.2717072e-07,3.386225e-08
57695.4999537037,8.3210374e-08,2.750253e-08
57702.4999537037,1.4188949e-07,3.5572935e-08
57709.4999537037,1.6964083e-07,3.1716944e-08
57716.4999537037,1.2600734e-07,2.5977748e-08
57723.4999537037,1.9160346e-07,3.2646255e-08
57730.4999537037,1.3246544e-07,2.8324365e-08
57737.4999537037,1.6387777e-07,3.2667366e-08
57744.4999537037,2.3152745e-07,4.3196938e-08
57751.4999537037,2.3308198e-07,3.9647496e-08
57758.49994212963,3.1655458e-07,4.102584e-08
57765.49994212963,1.7008708e-07,3.317565e-08
57772.49994212963,1.8119533e-07,3.1332657e-08
57779.49994212963,2.6111445e-07,4.0257635e-08
57786.49994212963,2.1297774e-07,3.12314e-08
57793.49994212963,1.6339683e-07,3.3412405e-08
57800.49994212963,2.5496166e-07,3.9998767e-08
57807.49994212963,1.3142737e-07,2.8147513e-08
57814.49994212963,2.815e-07,5.0466962e-08
57821.49994212963,1.3972438e-07,3.5278646e-08
