source_id,source,name,cadence,mjd,date1,date2,N0,N0_err,F0,F0_err,F0_order,TS,gamma,E0_TeV,n_inputs,fit_status,fit_log_status,is_usable_for_periodicity
ngc1275,NGC1275,2022-11-07_2022-11-13,week,59893.5,2022-11-07,2022-11-13,5.623e-14,4.44e-14,0.05623,0.0444,1e-12,1.86,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-11-14_2022-11-20,week,59900.5,2022-11-14,2022-11-20,8.2e-16,1.6631e-13,0.00082,0.16631,1e-12,0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-11-21_2022-11-27,week,59907.5,2022-11-21,2022-11-27,0.0,2.571e-14,0.0,0.02571,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-11-28_2022-12-04,week,59914.5,2022-11-28,2022-12-04,1.899e-14,4.124e-14,0.01899,0.04124,1e-12,0.22,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-12-05_2022-12-11,week,59921.5,2022-12-05,2022-12-11,1.434e-14,3.739e-14,0.01434,0.03739,1e-12,0.16,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-12-12_2022-12-18,week,59928.5,2022-12-12,2022-12-18,4.541e-14,4.079e-14,0.04541,0.04079,1e-12,1.51,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-12-19_2022-12-25,week,59935.5,2022-12-19,2022-12-25,1.8788e-13,5.549e-14,0.18788,0.05549,1e-12,13.54,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-12-26_2023-01-01,week,59942.5,2022-12-26,2023-01-01,4.931e-14,4.277e-14,0.04931,0.04277,1e-12,1.55,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2023-01-02_2023-01-08,week,59949.5,2023-01-02,2023-01-08,2.2605e-13,5.47e-14,0.22605,0.0547,1e-12,22.64,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2023-01-09_2023-01-15,week,59956.5,2023-01-09,2023-01-15,4.695e-13,6.514e-14,0.4695,0.06514,1e-12,68.81,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2023-01-16_2023-01-22,week,59963.5,2023-01-16,2023-01-22,3.577e-14,4.342e-14,0.03577,0.04342,1e-12,0.74,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2023-01-23_2023-01-29,week,59970.5,2023-01-23,2023-01-29,5.288e-14,4.277e-14,0.05288,0.04277,1e-12,1.77,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2023-01-30_2023-02-05,week,59977.5,2023-01-30,2023-02-05,0.0,3.5113e-13,0.0,0.35113,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2023-02-06_2023-02-12,week,59984.5,2023-02-06,2023-02-12,2.8915e-13,5.649e-14,0.28915,0.05649,1e-12,35.98,2.6,3.0,1,OK,OK,True
