# time	flux
# # inc=90.00, dt=1.0, N=484
7.80000000e+02	5.32305018e-01
7.81000000e+02	5.28684127e-01
7.82000000e+02	5.22595382e-01
7.83000000e+02	5.20622037e-01
7.84000000e+02	5.19158945e-01
7.85000000e+02	5.14464366e-01
7.86000000e+02	5.14514259e-01
7.87000000e+02	5.18030715e-01
7.88000000e+02	5.23125168e-01
7.89000000e+02	5.24913652e-01
7.90000000e+02	5.21609470e-01
7.91000000e+02	5.17977206e-01
7.92000000e+02	5.20213856e-01
7.93000000e+02	5.21157906e-01
7.94000000e+02	5.22243448e-01
7.95000000e+02	5.18592918e-01
7.96000000e+02	5.18808595e-01
7.97000000e+02	5.15993313e-01
7.98000000e+02	5.14539153e-01
7.99000000e+02	5.11239212e-01
8.00000000e+02	5.12955521e-01
8.01000000e+02	5.16015935e-01
8.02000000e+02	5.14014929e-01
8.03000000e+02	5.16398980e-01
8.04000000e+02	5.18539475e-01
8.05000000e+02	5.20317946e-01
8.06000000e+02	5.22195567e-01
8.07000000e+02	5.24948862e-01
8.08000000e+02	5.25142475e-01
8.09000000e+02	5.23517455e-01
8.10000000e+02	5.21300315e-01
8.11000000e+02	5.16485676e-01
8.12000000e+02	5.12567597e-01
8.13000000e+02	5.09952513e-01
8.14000000e+02	5.10557790e-01
8.15000000e+02	5.08878487e-01
8.16000000e+02	5.12203216e-01
8.17000000e+02	5.17808125e-01
8.18000000e+02	5.19709955e-01
8.19000000e+02	5.20081467e-01
8.20000000e+02	5.20452688e-01
8.21000000e+02	5.23593758e-01
8.22000000e+02	5.25616070e-01
8.23000000e+02	5.27790661e-01
8.24000000e+02	5.30300051e-01
8.25000000e+02	5.24962790e-01
8.26000000e+02	5.22362484e-01
8.27000000e+02	5.20832436e-01
8.28000000e+02	5.21070175e-01
8.29000000e+02	5.24019537e-01
8.30000000e+02	5.26445669e-01
8.31000000e+02	5.26755626e-01
8.32000000e+02	5.27573158e-01
8.33000000e+02	5.33076936e-01
8.34000000e+02	5.33409521e-01
8.35000000e+02	5.35672719e-01
8.36000000e+02	5.33268671e-01
8.37000000e+02	5.32586294e-01
8.38000000e+02	5.28313653e-01
8.39000000e+02	5.28138534e-01
8.40000000e+02	5.25591172e-01
8.41000000e+02	5.22421257e-01
8.42000000e+02	5.30111855e-01
8.43000000e+02	5.35803652e-01
8.44000000e+02	5.35364519e-01
8.45000000e+02	5.37338987e-01
8.46000000e+02	5.37321230e-01
8.47000000e+02	5.35041510e-01
8.48000000e+02	5.33917480e-01
8.49000000e+02	5.40076386e-01
8.50000000e+02	5.42115921e-01
8.51000000e+02	5.37486913e-01
8.52000000e+02	5.30840012e-01
8.53000000e+02	5.27443874e-01
8.54000000e+02	5.24245776e-01
8.55000000e+02	5.28651755e-01
8.56000000e+02	5.32207441e-01
8.57000000e+02	5.39725362e-01
8.58000000e+02	5.40510456e-01
8.59000000e+02	5.37573640e-01
8.60000000e+02	5.32114795e-01
8.61000000e+02	5.29544287e-01
8.62000000e+02	5.37472865e-01
8.63000000e+02	5.37395223e-01
8.64000000e+02	5.43758144e-01
8.65000000e+02	5.42040105e-01
8.66000000e+02	5.41281251e-01
8.67000000e+02	5.34242907e-01
8.68000000e+02	5.31024743e-01
8.69000000e+02	5.28505462e-01
8.70000000e+02	5.33135941e-01
8.71000000e+02	5.44381801e-01
8.72000000e+02	5.51621972e-01
8.73000000e+02	5.49330151e-01
8.74000000e+02	5.43611672e-01
8.75000000e+02	5.38036431e-01
8.76000000e+02	5.40303791e-01
8.77000000e+02	5.44104314e-01
8.78000000e+02	5.46983650e-01
8.79000000e+02	5.45490813e-01
8.80000000e+02	5.47649733e-01
8.81000000e+02	5.44620442e-01
8.82000000e+02	5.41695154e-01
8.83000000e+02	5.35710168e-01
8.84000000e+02	5.40675798e-01
8.85000000e+02	5.50039905e-01
8.86000000e+02	5.57038359e-01
8.87000000e+02	5.52500451e-01
8.88000000e+02	5.43692456e-01
8.89000000e+02	5.37392098e-01
8.90000000e+02	5.36959824e-01
8.91000000e+02	5.44068105e-01
8.92000000e+02	5.49633398e-01
8.93000000e+02	5.43261228e-01
8.94000000e+02	5.40953739e-01
8.95000000e+02	5.42573514e-01
8.96000000e+02	5.38461126e-01
8.97000000e+02	5.32496894e-01
8.98000000e+02	5.37385083e-01
8.99000000e+02	5.47648822e-01
9.00000000e+02	5.53201371e-01
9.01000000e+02	5.56567081e-01
9.02000000e+02	5.50032680e-01
9.03000000e+02	5.43771263e-01
9.04000000e+02	5.39531536e-01
9.05000000e+02	5.31332230e-01
9.06000000e+02	5.38447616e-01
9.07000000e+02	5.44034405e-01
9.08000000e+02	5.46452953e-01
9.09000000e+02	5.42267100e-01
9.10000000e+02	5.36855427e-01
9.11000000e+02	5.30238977e-01
9.12000000e+02	5.32603182e-01
9.13000000e+02	5.38359147e-01
9.14000000e+02	5.45808612e-01
9.15000000e+02	5.48595405e-01
9.16000000e+02	5.41753575e-01
9.17000000e+02	5.38470567e-01
9.18000000e+02	5.33940152e-01
9.19000000e+02	5.33523841e-01
9.20000000e+02	5.40328217e-01
9.21000000e+02	5.52210124e-01
9.22000000e+02	5.52125302e-01
9.23000000e+02	5.44837322e-01
9.24000000e+02	5.38747278e-01
9.25000000e+02	5.33023059e-01
9.26000000e+02	5.32763688e-01
9.27000000e+02	5.33327548e-01
9.28000000e+02	5.36776160e-01
9.29000000e+02	5.43309236e-01
9.30000000e+02	5.42730011e-01
9.31000000e+02	5.39448808e-01
9.32000000e+02	5.34890720e-01
9.33000000e+02	5.43577279e-01
9.34000000e+02	5.43467004e-01
9.35000000e+02	5.43997947e-01
9.36000000e+02	5.46908232e-01
9.37000000e+02	5.45782336e-01
9.38000000e+02	5.42497135e-01
9.39000000e+02	5.41572810e-01
9.40000000e+02	5.37611780e-01
9.41000000e+02	5.32532052e-01
9.42000000e+02	5.40647626e-01
9.43000000e+02	5.47342908e-01
9.44000000e+02	5.42812736e-01
9.45000000e+02	5.37285245e-01
9.46000000e+02	5.33374758e-01
9.47000000e+02	5.32184014e-01
9.48000000e+02	5.32700517e-01
9.49000000e+02	5.36694627e-01
9.50000000e+02	5.42153446e-01
9.51000000e+02	5.44553403e-01
9.52000000e+02	5.43345151e-01
9.53000000e+02	5.40024711e-01
9.54000000e+02	5.34904887e-01
