# ra : 49.05, dec : 41.25
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-12-20_2021-12-26,59571.16683148157,"[39198.0, 4300.0, 376.0, 22.0, 5.0, 0.0, 0.0]","[39473.85922967582, 4420.01685830901, 437.1482444927876, 29.20381691688504, 7.523184872945976, 0.6296246296480966, 0.2652243498728929]","[1366794833.2888188, 152941409.24474663, 15107839.0155595, 1006607.1597124583, 259822.83737503213, 21793.354656058826, 8594.936516872474]",205533.4
2021-12-27_2022-01-02,59578.16677905083,"[35153.0, 3947.0, 424.0, 26.0, 7.0, 0.0, 1.0]","[35279.85138008249, 3945.5602548213033, 392.5725974827604, 26.161851209322254, 6.930126762010441, 0.6199162199166875, 0.1910086363752026]","[1153051342.5607884, 129029227.8200591, 12824306.153919248, 856671.5840128706, 225087.03264099194, 21237.812803746245, 6827.929163779337]",190617.7
2022-01-03_2022-01-09,59585.16683425926,"[38587.0, 4305.0, 411.0, 18.0, 10.0, 1.0, 0.0]","[38731.175233359216, 4333.085182122226, 429.02680363775943, 28.662887720519656, 7.321370075363145, 0.5887800530168654, 0.23143360581087605]","[1338267854.242496, 149600546.09395534, 14812112.805482542, 989843.1662981554, 253476.07610318527, 20606.298286569876, 7582.134228961456]",205498.7
2022-01-10_2022-01-16,59592.16679201393,"[39059.0, 4404.0, 406.0, 24.0, 5.0, 0.0, 0.0]","[39178.60517132503, 4353.00111048431, 432.6330128526086, 28.25207094097482, 7.1177100593436675, 0.49745845671858036, 0.18684093824680476]","[1354349354.6891954, 150415917.99451265, 14948400.561084263, 977846.7175640006, 245546.15374669954, 17494.559629915577, 6677.941228105822]",205697.4
2022-01-17_2022-01-23,59599.16700868019,"[38277.0, 4229.0, 394.0, 31.0, 4.0, 1.0, 1.0]","[38303.32037393347, 4250.205872800277, 418.92079467220486, 28.071737710818265, 6.920467568664322, 0.664066148723327, 0.2214043343782777]","[1306703970.589125, 144927587.91818437, 14261271.876380049, 956281.176461653, 236977.92161154453, 22703.573510724284, 7335.4664152242785]",193945.7
2022-01-24_2022-01-30,59606.16685833294,"[39638.0, 4261.0, 400.0, 29.0, 6.0, 2.0, 0.0]","[39384.64955485838, 4365.964882370891, 425.06999928128937, 27.897711994939865, 7.110048348292096, 0.635577313388981, 0.18079872603049]","[1343879056.6489909, 148951237.08569238, 14497847.835846122, 951883.7957163109, 243168.80192073766, 21941.77903230633, 6386.880075828626]",202837.3
2022-01-31_2022-02-06,59613.16693032354,"[39344.0, 4437.0, 443.0, 24.0, 12.0, 1.0, 0.0]","[39463.544802020966, 4402.398044365448, 430.32358905821206, 28.245904482737895, 7.5005717487240755, 0.6280558459355656, 0.24272192475068619]","[1353875599.4234354, 151031724.12691924, 14762974.258892715, 971320.621927409, 258465.41760844138, 21018.78551871985, 8353.6399453477]",202485.8
2022-02-07_2022-02-13,59620.16686990748,"[39790.0, 4422.0, 439.0, 24.0, 9.0, 1.0, 0.0]","[39874.018693011865, 4427.157816436691, 435.3788449283771, 28.679396018734266, 7.29242167694588, 0.8013959782538705, 0.21481816544213678]","[1372142075.1108913, 152268607.43304682, 14974742.03843094, 990153.1236036639, 250703.27905402248, 27103.18359815306, 7292.242515991236]",201612.3
2022-02-14_2022-02-20,59627.16690486121,"[17418.0, 1950.0, 199.0, 12.0, 2.0, 0.0, 0.0]","[17192.031347164775, 1985.606660529111, 195.20935092570875, 12.689219205572753, 3.422234831732553, 0.24863983996229388, 0.09033945532565008]","[578372938.7895875, 66822218.51698862, 6565109.947871749, 426958.86082526547, 115108.79003140405, 9212.925461735585, 3135.215418064563]",107233.3
2022-02-21_2022-02-27,59634.16683993064,"[28879.0, 3176.0, 329.0, 14.0, 3.0, 0.0, 0.0]","[29117.370576175104, 3215.7164120141915, 309.5121000802146, 20.53466109634457, 5.091150999939228, 0.4997803082595176, 0.14385927571608756]","[995760169.2021401, 110079778.09045382, 10595735.615629943, 704699.003976664, 174460.12524933435, 16688.18681662061, 4704.404360530219]",158945.2
2022-02-28_2022-03-06,59641.166850115726,"[38542.0, 4233.0, 365.0, 30.0, 10.0, 0.0, 0.0]","[38362.03099703477, 4224.986998232906, 408.9468768167879, 25.78554614100738, 7.06799604834695, 0.5816978977116812, 0.21111322620789771]","[1313880705.789066, 144773317.97014034, 14029801.808583612, 886529.8488594494, 243419.84882511364, 20251.458603146486, 6901.110084510682]",204000.1
2022-03-07_2022-03-13,59648.16671736075,"[31723.0, 3422.0, 344.0, 15.0, 4.0, 3.0, 0.0]","[31962.34497647574, 3459.319319774689, 321.63356002735514, 20.442334405022507, 5.281083366277491, 0.327212324532562, 0.14389879936517952]","[1070251651.4336228, 115713698.77562511, 10763374.489117743, 685867.5209541941, 177895.7844716795, 11510.073480543435, 5492.538757124335]",178581.0
