# ra : 330.75, dec : 42.15
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-11-08_2021-11-14,59529.16671238424,"[36820.0, 4256.0, 447.0, 39.0, 3.0, 0.0, 0.0]","[36956.17845796577, 4229.684159472258, 419.77435926614686, 27.592937658800217, 6.478882517324069, 0.5503275238013986, 0.14304297335965663]","[1274537992.9339244, 145828884.5001935, 14464244.055836426, 951973.6307639781, 222432.58445348113, 19076.02582443697, 5931.430526112465]",204865.9
2021-11-15_2021-11-21,59536.16684085637,"[34964.0, 4079.0, 389.0, 30.0, 3.0, 1.0, 0.0]","[34781.55490638505, 3981.626231501378, 395.0723866560558, 25.20172642848936, 6.514615635738375, 0.5062404312479284, 0.11812881379679555]","[1155866061.7214017, 132208612.6721934, 13131887.708483918, 836424.7704952384, 215275.4242370805, 17543.264891005176, 4700.862748973675]",192351.0
2021-11-22_2021-11-28,59543.166822106185,"[36065.0, 4147.0, 407.0, 38.0, 10.0, 1.0, 1.0]","[36384.445598517, 4149.616795225104, 417.8447661670931, 27.648412544990112, 6.91555778187386, 0.6471468314675964, 0.18513831986285006]","[1255141585.924086, 143066828.60953483, 14420681.076634709, 951981.6603054248, 239127.25416904796, 23280.76619860032, 7054.206851319803]",204443.1
2021-11-29_2021-12-05,59550.16697291678,"[31583.0, 3621.0, 379.0, 23.0, 9.0, 1.0, 0.0]","[31788.113519337378, 3636.0417869772946, 361.4365660635754, 22.93099716561649, 6.031383545404343, 0.4341997591804012, 0.1661157882122178]","[1090899512.4914815, 124706614.25631657, 12395789.408938896, 788313.2009963939, 207570.0939736404, 15482.769775868046, 6212.762750599381]",184484.9
2021-12-06_2021-12-12,59557.16690509248,"[36999.0, 4353.0, 435.0, 26.0, 5.0, 0.0, 0.0]","[36787.79522553003, 4203.155867972347, 424.2488286721695, 27.129244330327758, 7.451066724287408, 0.6187415824244412, 0.19556178600334972]","[1233873712.045555, 141078994.13966694, 14258759.400001926, 915566.9324130828, 249629.3212308707, 20822.57237445358, 6620.671278402796]",197930.9
2021-12-13_2021-12-19,59564.166788194445,"[32604.0, 3809.0, 328.0, 20.0, 9.0, 0.0, 0.0]","[32623.258684214154, 3711.6802441351992, 366.6158167629252, 22.920606074135055, 5.932282621510347, 0.5568421743684338, 0.17781575058156865]","[1120814632.3026655, 127565111.0368128, 12610148.193801943, 790163.8263632152, 204146.08124914896, 19566.337274539506, 5931.955233992236]",181211.8
2021-12-20_2021-12-26,59571.16683148157,"[37814.0, 4272.0, 441.0, 23.0, 9.0, 0.0, 0.0]","[38083.37547668016, 4336.21989936027, 436.0623313475253, 28.504324908641156, 7.484467506419729, 0.5584483143286775, 0.20302887738007858]","[1308096237.9195528, 149080618.78676695, 15008930.713597616, 984457.4382425094, 259372.82022492125, 19327.405933335747, 7747.873331694405]",204301.9
2021-12-27_2022-01-02,59578.16677905083,"[32737.0, 3737.0, 385.0, 29.0, 7.0, 1.0, 0.0]","[32653.181295762428, 3704.109428043888, 372.86169117900596, 23.753293028529374, 6.199400515144495, 0.5887220463232387, 0.1966646887107741]","[1027495988.5642854, 116799856.44495147, 11780146.276290173, 755410.3267186043, 198943.07180565502, 18212.84226313835, 5838.9555920976145]",182452.1
2022-01-03_2022-01-09,59585.16683425926,"[37503.0, 4218.0, 414.0, 27.0, 6.0, 1.0, 2.0]","[37550.69093410139, 4267.690663636612, 422.5350047225027, 27.17686128030344, 7.139158709361974, 0.6527032639368827, 0.20300076995146454]","[1288199357.522078, 146465193.67767218, 14511771.50388848, 935703.686770615, 246886.5891923196, 22092.43750259201, 6539.215240020065]",204331.5
2022-01-10_2022-01-16,59592.16679201393,"[37890.0, 4245.0, 452.0, 32.0, 8.0, 3.0, 0.0]","[37975.688732789524, 4300.672911305614, 430.0023846255059, 28.285822521057252, 7.10314550647502, 0.7073509826712573, 0.21698321412413357]","[1302648363.0100193, 147662855.6517873, 14792401.268771593, 972114.2943508626, 245435.90248156144, 23452.891461660765, 7632.49182632365]",204507.1
