# ra : 356.75, dec : 51.75
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2022-03-21_2022-03-27,59662.16696226853,"[22269.0, 2802.0, 291.0, 16.0, 1.0, 1.0, 0.0]","[22461.179500278573, 2868.504875697326, 265.66048728184796, 16.626238222138173, 4.619540658144016, 0.3216919081718505, 0.12170230043178018]","[760091540.3162546, 97131162.25796577, 9004749.322784325, 562819.3481545637, 158453.01173457023, 10558.48621381449, 4126.113932993424]",200439.7
2022-03-28_2022-04-03,59669.166778935,"[18588.0, 2310.0, 222.0, 21.0, 2.0, 1.0, 0.0]","[18589.649620019834, 2355.222303037747, 221.79639006519673, 13.970926058011175, 4.007967530676341, 0.1896177006246436, 0.08453705733614685]","[642052007.3870938, 81357461.86362836, 7662616.12220359, 482501.28967862483, 137306.00393822615, 6552.009741446939, 3448.107892649246]",180911.0
2022-04-04_2022-04-10,59676.16661817132,"[13306.0, 1664.0, 158.0, 8.0, 3.0, 0.0, 0.0]","[13157.964480357274, 1637.644346754114, 149.74671932165654, 9.627774154620715, 2.7077496738393445, 0.1509186188470566, 0.028773410275746807]","[435565728.31824046, 54313659.12705497, 4966747.917611221, 317909.6062246002, 89943.63048424658, 5120.274542620598, 1199.4135118561462]",138803.7
2022-04-11_2022-04-17,59683.16650127327,"[21008.0, 2688.0, 258.0, 16.0, 9.0, 0.0, 0.0]","[20959.308203328554, 2621.452389927635, 240.5423148332023, 15.880063474167827, 4.126306879544259, 0.2594125706932427, 0.10238459007626857]","[721776377.6625282, 90322945.37299079, 8291441.080479435, 545416.1989646611, 142874.06528252864, 9191.806714895873, 3906.45374055186]",204256.5
2022-04-18_2022-04-24,59690.16679131911,"[17454.0, 2287.0, 259.0, 18.0, 13.0, 0.0, 0.0]","[17392.32245772779, 2212.6919040704433, 201.68149635650724, 13.161677871766537, 3.6141918835053954, 0.24525393808428267, 0.10015652326941694]","[592780084.5334054, 75452730.32876255, 6876460.766688464, 448163.70280868583, 122407.40491574552, 8916.273859043009, 2906.8990751649517]",168358.9
2022-04-25_2022-05-01,59697.16674571783,"[10097.0, 1421.0, 190.0, 21.0, 6.0, 3.0, 0.0]","[10133.088397255107, 1332.847789621068, 128.639624461196, 8.606839735040689, 2.2724121844963547, 0.16771538032181113, 0.055479536489431464]","[346013834.0818418, 45439013.99685481, 4369317.889622433, 292818.0472078303, 77555.33538965195, 5056.8045427389325, 1910.2858807737236]",108240.3
2022-05-02_2022-05-08,59704.16650463019,"[20434.0, 2794.0, 286.0, 30.0, 16.0, 0.0, 0.0]","[20373.13900107894, 2753.5912966437504, 271.38495259816665, 18.180705262005176, 4.462838894181326, 0.2573708896169083, 0.1598165837839432]","[696741999.8305857, 94169079.51332825, 9278526.299790028, 620885.1240982234, 153945.50850953854, 7731.099369202268, 4985.8804907777285]",191302.2
2022-05-09_2022-05-15,59711.16671157407,"[19906.0, 2700.0, 288.0, 20.0, 5.0, 0.0, 0.0]","[19798.493638569387, 2663.0075725502165, 257.28724414776224, 15.925250985135257, 4.047816121751613, 0.21933542692388783, 0.08113826212562689]","[682382220.754515, 91731098.94618043, 8861622.601291299, 547853.2476156468, 138684.87286062696, 7115.494165683632, 2794.4449052977034]",184298.9
2022-05-16_2022-05-22,59718.16637986089,"[15259.0, 2143.0, 248.0, 29.0, 3.0, 0.0, 0.0]","[15060.946510726639, 2062.1502940626774, 205.09145159757063, 13.122476845976111, 3.2808620864697584, 0.15693965378308833, 0.08064165514124372]","[514956854.8752577, 70462749.59457141, 7000300.725493539, 447433.53980309324, 111803.04448440559, 5675.294415855153, 2681.4790450239566]",147056.9
2022-05-23_2022-05-29,59725.16671539346,"[19207.0, 2545.0, 270.0, 16.0, 6.0, 0.0, 0.0]","[19099.63314717972, 2553.4841377320317, 249.29831028599202, 15.664700387639307, 3.829863321972137, 0.2702772162470603, 0.11494284229060062]","[641967769.629581, 85798014.3893325, 8365804.046931551, 525210.915478239, 128194.44783874303, 8607.609238515328, 3476.898560393502]",173631.3
2022-05-30_2022-06-05,59732.16694317115,"[23117.0, 3131.0, 314.0, 24.0, 5.0, 1.0, 0.0]","[23091.50788553754, 3103.5781883247355, 299.46653786017674, 18.807006183532092, 3.948067045776867, 0.23318286655593912, 0.12587720225902616]","[797586023.3566234, 107183183.97329976, 10332276.309643662, 647454.0055831602, 134721.61738321075, 8466.588358349394, 3847.0298473390158]",205523.1
2022-06-06_2022-06-12,59739.16687361122,"[22898.0, 3163.0, 332.0, 27.0, 3.0, 0.0, 0.0]","[22935.852547767226, 3102.3451327079056, 304.9623526762769, 18.760165389189627, 4.834810033998649, 0.29442860184567454, 0.12615654763602105]","[791561168.1280628, 107004634.66034138, 10500988.184339589, 644588.1057302231, 165251.85958693712, 9962.335076031202, 4226.82889634942]",206213.0
2022-06-13_2022-06-19,59746.1670091434,"[23028.0, 3113.0, 319.0, 21.0, 8.0, 0.0, 0.0]","[22995.575970314603, 3128.6887217016583, 306.6415695938531, 19.561973832663206, 4.873441905541352, 0.22878410989297399, 0.12527537774590763]","[787380728.5035733, 107044548.28847645, 10488180.01321155, 667210.6469623734, 165769.8319420182, 8223.617283076635, 4155.321408209985]",205101.3
2022-06-20_2022-06-26,59753.167018634485,"[17022.0, 2283.0, 217.0, 14.0, 6.0, 1.0, 0.0]","[17011.98248563191, 2263.700898264936, 221.05263342342613, 13.000406704823567, 3.0347943756432754, 0.2060403275059339, 0.09300933141325318]","[555842110.1365757, 74050031.92301992, 7230649.438646537, 426815.4438227221, 99660.49614655902, 6200.48766299267, 2827.4540352554545]",146532.9
