# ra : 253.468, dec : 39.76
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2022-01-10_2022-01-16,59592.16679201393,"[41966.0, 4970.0, 562.0, 65.0, 26.0, 6.0, 0.0]","[41971.49712042246, 4737.6735197800535, 468.79525345740115, 30.693566180408236, 8.192223901609433, 0.5735613078876174, 0.21054483448067637]","[1456338528.2535615, 164439371.41550773, 16253767.958122294, 1065130.961321776, 282160.84366207366, 20701.68945586736, 7599.954458084521]",203201.3
2022-01-17_2022-01-23,59599.16700868019,"[38484.0, 4451.0, 528.0, 46.0, 19.0, 4.0, 0.0]","[38113.242287080546, 4283.723595838767, 423.3195843670018, 28.030097271260953, 7.095021390654778, 0.5019891236800816, 0.21566546629660768]","[1274334230.9003482, 143230388.05566418, 14135684.057806171, 928091.8828289725, 234966.31694718846, 16323.890640937443, 6683.627138739625]",181216.4
2022-01-24_2022-01-30,59606.16685833294,"[43305.0, 5126.0, 622.0, 73.0, 37.0, 6.0, 0.0]","[42936.33753157471, 4844.130282615287, 472.8819256957524, 31.074550499409142, 7.755820041154299, 0.6355058478585496, 0.1875772549109614]","[1486190285.9073155, 167691041.0803076, 16347001.655161528, 1071423.3031905687, 269620.82811506616, 21351.84585887847, 6936.480106721473]",203044.1
2022-01-31_2022-02-06,59613.16693032354,"[42936.0, 4846.0, 583.0, 36.0, 22.0, 4.0, 1.0]","[42445.64434072607, 4779.20784013628, 476.47177400920947, 30.178405311306538, 8.360623570927109, 0.6802378788022423, 0.1923255089685823]","[1469981296.025816, 165470656.89425611, 16485674.50883316, 1042334.7632413912, 289302.76977282873, 23231.075841079906, 7102.738129689536]",203111.9
2022-02-07_2022-02-13,59620.16686990748,"[39716.0, 4697.0, 549.0, 50.0, 21.0, 4.0, 0.0]","[39308.07734403444, 4419.613540657313, 439.14193563822016, 27.921708529794007, 7.764854998600813, 0.6108337010421494, 0.22409929825919445]","[1325238497.0229826, 149015870.96625993, 14800579.075090092, 943650.5172600934, 263209.69842337247, 21307.23894502597, 7177.9641039968365]",187778.1
2022-02-14_2022-02-20,59627.16690486121,"[37755.0, 4324.0, 534.0, 53.0, 15.0, 3.0, 0.0]","[37396.76813302593, 4132.569449386939, 404.7037731899504, 26.417743440442536, 7.439825483841909, 0.6753326892985462, 0.18805027514920516]","[1045055738.4002825, 116523781.56069803, 11455562.02997453, 750539.8933323767, 206687.31678836473, 17449.329667792288, 5727.104616013442]",162623.2
2022-02-21_2022-02-27,59634.16683993064,"[40141.0, 4683.0, 576.0, 59.0, 26.0, 6.0, 0.0]","[39678.87804782855, 4381.902230501328, 425.2741901671675, 27.62233724746629, 7.247008115754687, 0.662497175113467, 0.14821485449720176]","[1270948106.568478, 140540709.2098233, 13656411.052226642, 885320.8881735116, 233427.20459168413, 21655.473449924364, 5322.314001507872]",190012.8
2022-02-28_2022-03-06,59641.166850115726,"[40774.0, 4738.0, 576.0, 88.0, 39.0, 11.0, 0.0]","[40237.21258676858, 4446.11609736719, 432.99943160158415, 27.977097324581944, 7.156616571963767, 0.7711301315575569, 0.21466228750448943]","[1363592077.9874923, 150747699.5322169, 14659004.15941761, 946103.9302666228, 241468.94852364316, 25913.90491733986, 6872.604006977541]",197689.8
2022-03-07_2022-03-13,59648.16671736075,"[39804.0, 4446.0, 518.0, 45.0, 22.0, 0.0, 0.0]","[39342.023894596416, 4296.510912823799, 409.46143597801273, 25.72861837201804, 6.777441544539931, 0.5157181387292306, 0.1070294568036769]","[1303318639.4856553, 142315356.2192978, 13556667.644092413, 849083.2614839845, 225424.2425270717, 16699.070096006868, 4001.8159528574397]",198260.6
2022-03-14_2022-03-20,59655.16690104192,"[39781.0, 4440.0, 511.0, 43.0, 27.0, 4.0, 0.0]","[39324.077559568585, 4264.791685654209, 398.70224879034487, 25.671268552000445, 6.790729866984, 0.620351422209434, 0.21228406862901106]","[1335629614.1302543, 144849108.39923978, 13535421.385948697, 869129.7132119421, 230426.26371799107, 20038.484228510843, 6157.892012485818]",200977.2
2022-03-21_2022-03-27,59662.16696226853,"[38166.0, 4441.0, 547.0, 63.0, 37.0, 5.0, 0.0]","[37941.647172918, 4129.232093179283, 391.64715081520853, 23.722742792449406, 6.5274782030982035, 0.4949847067855362, 0.1406065788027309]","[1267935099.8266454, 138087836.56201687, 13080555.102433397, 794701.5042958272, 217190.49020117306, 16671.136511299046, 5117.511171812461]",193716.3
2022-03-28_2022-04-03,59669.166778935,"[38052.0, 4435.0, 562.0, 81.0, 41.0, 5.0, 1.0]","[38015.13488244618, 4126.907359607, 387.2427925748832, 23.25998871906426, 6.425505058154982, 0.4566555150575989, 0.15077263515385553]","[1275023984.2623746, 138509179.45466995, 13002070.580596961, 777603.4480559044, 214543.23295416168, 15062.446506523964, 4679.025864826697]",200678.5
2022-04-04_2022-04-10,59676.16661817132,"[33934.0, 3714.0, 426.0, 56.0, 23.0, 0.0, 0.0]","[33561.40038788855, 3534.8782095427223, 322.8380941268044, 20.196164815280184, 5.037030915387847, 0.3998927514929785, 0.15025314820036004]","[1121827006.9729357, 118308564.8710011, 10819599.530374771, 677027.5913606032, 169153.68289465495, 13885.269596622722, 4543.770018548201]",194192.9
2022-04-11_2022-04-17,59683.16650127327,"[37781.0, 4258.0, 511.0, 62.0, 36.0, 5.0, 0.0]","[37301.427475395365, 3968.186208828533, 363.230002461233, 22.798635181832175, 5.8980061950067135, 0.550401780771914, 0.1844875891781394]","[1279526953.4419959, 135988261.50585866, 12440268.4892512, 780644.6481799313, 201269.69688162953, 19089.233527680877, 6339.682661614487]",203184.8
2022-04-18_2022-04-24,59690.16679131911,"[36839.0, 4154.0, 505.0, 65.0, 36.0, 5.0, 2.0]","[36461.74957868467, 3921.136681191551, 363.29864830124694, 22.99936355561519, 6.01764865625706, 0.40579977146878715, 0.18981974674804472]","[1200010728.4652817, 129223984.77366064, 11976460.850393608, 756358.2747150672, 199919.55193536438, 12741.644571129307, 6172.524599633114]",190150.2
2022-04-25_2022-05-01,59697.16674571783,"[39929.0, 4586.0, 553.0, 38.0, 23.0, 4.0, 0.0]","[39748.5008068483, 4438.804631115618, 426.8052759000317, 27.414147342630553, 6.983876873442875, 0.548532048110528, 0.18413037104700072]","[1309152527.3176954, 145623468.44232956, 13943486.246216888, 890811.4688829503, 227703.51259439855, 18386.144174336263, 6033.640332713923]",204578.8
2022-05-02_2022-05-08,59704.16650463019,"[37957.0, 4523.0, 562.0, 82.0, 34.0, 5.0, 1.0]","[37925.671679531166, 4402.723900706255, 439.1147989270749, 28.034904123554185, 7.12101998951539, 0.4863689225894143, 0.19023516593137155]","[1290886719.8099446, 149785911.68200365, 14936779.347572383, 950892.1879187655, 240691.5280895584, 17317.655208751996, 6505.010861341301]",202384.9
2022-05-09_2022-05-15,59711.16671157407,"[39829.0, 4820.0, 601.0, 65.0, 27.0, 5.0, 0.0]","[39629.055054447, 4559.399472711479, 448.0429946438294, 27.54751190900459, 6.736740381950999, 0.4424293140944131, 0.16726102415446056]","[1335990266.603066, 153640327.48298508, 15090646.21744914, 927625.6754483186, 226276.97444736483, 15354.011930939445, 5564.520763460432]",200369.1
2022-05-16_2022-05-22,59718.16637986089,"[40388.0, 4858.0, 621.0, 58.0, 19.0, 3.0, 2.0]","[39978.224819791714, 4662.495544804903, 460.18163273402706, 28.775278408534934, 7.294146818361595, 0.45587018276795566, 0.21975379178909343]","[1369716072.321676, 159502715.06909594, 15716981.962393774, 979099.4979364718, 249217.27472525672, 16397.55774986692, 7521.753539232966]",204723.7
2022-05-23_2022-05-29,59725.16671539346,"[40643.0, 4816.0, 562.0, 58.0, 39.0, 4.0, 0.0]","[40315.78555300348, 4633.824910353222, 448.4099020304857, 26.48884157800176, 6.700028315945608, 0.5233293277821071, 0.2018409204082511]","[1385334018.9883661, 159047300.13493952, 15377836.951477272, 908010.5342689722, 229223.12514705025, 18261.96955011712, 7084.171718689989]",204695.7
2022-05-30_2022-06-05,59732.16694317115,"[40637.0, 4762.0, 572.0, 72.0, 28.0, 2.0, 2.0]","[40295.229166353856, 4643.671898596092, 452.92238231329884, 27.634990518694586, 6.649305633295511, 0.49638604320984314, 0.20442345917641963]","[1382371593.7853718, 159192630.74859756, 15538586.49123398, 947666.0706727651, 227064.4055050825, 16395.777984728622, 6917.237840771284]",203331.7
2022-06-06_2022-06-12,59739.16687361122,"[40749.0, 4932.0, 589.0, 52.0, 27.0, 4.0, 0.0]","[40221.738511077754, 4665.677457162914, 463.01299675479964, 28.321885746166355, 6.880903935337641, 0.4668532095182024, 0.284624982562078]","[1380731563.6547089, 159811706.89108145, 15824262.338086521, 962839.4878888499, 234814.03623942475, 16700.16204820703, 9537.153905605126]",204742.6
2022-06-13_2022-06-19,59746.1670091434,"[40545.0, 4834.0, 544.0, 43.0, 20.0, 0.0, 1.0]","[40388.971298777265, 4705.396293618881, 467.37787574168857, 29.131168690644724, 6.850034603769631, 0.5394935164878804, 0.18711493996337364]","[1378371209.8638442, 160426417.47427636, 15915679.527479153, 992245.2612031334, 231906.71848452074, 18934.843688389454, 6228.377257731994]",203727.8
2022-06-20_2022-06-26,59753.167018634485,"[40204.0, 4767.0, 516.0, 51.0, 29.0, 6.0, 2.0]","[39905.52444504789, 4575.026846982329, 442.6057522511509, 26.690794660233827, 6.780003134975261, 0.46913207242715704, 0.15964015246084334]","[1325684538.3200362, 151836961.24040294, 14670279.667176945, 884321.9889737793, 223074.83150703978, 14969.452274901616, 5812.43440807985]",200498.2
