# ra : 187.75, dec : 12.45
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-11-22_2021-11-28,59543.166822106185,"[26200.0, 3410.0, 390.0, 28.0, 4.0, 0.0, 1.0]","[26155.148650630126, 3341.752520937557, 359.5380439341024, 23.471253270326134, 7.046647458805805, 0.5535772125377443, 0.20471145661615583]","[907967472.2371283, 116048287.29372309, 12483243.94901474, 815939.4954782343, 245937.13237847874, 18337.448534975036, 7892.6612750047825]",170685.2
2021-11-29_2021-12-05,59550.16697291678,"[22682.0, 3024.0, 331.0, 29.0, 6.0, 0.0, 0.0]","[22921.047444464934, 2914.7604802155006, 311.66568296476567, 20.818866371192605, 5.90045366297876, 0.45032469951972287, 0.13786566680870088]","[750138759.3139545, 95651337.03524855, 10230342.502510972, 681908.7671128657, 194083.3796855052, 15628.582733098501, 4594.944165046415]",151563.7
2021-12-06_2021-12-12,59557.16690509248,"[25777.0, 3299.0, 354.0, 25.0, 10.0, 4.0, 0.0]","[25772.849264825945, 3294.342521997623, 356.51366773536193, 23.24344516016458, 7.06099563217492, 0.5660999400993115, 0.1873706671730327]","[864219666.5066227, 110603772.25990346, 11964953.001005776, 782719.0050453562, 237590.49594200382, 19368.723566527155, 6384.019388262241]",162675.1
2021-12-13_2021-12-19,59564.166788194445,"[27024.0, 3470.0, 411.0, 23.0, 11.0, 3.0, 0.0]","[26960.748065760603, 3438.7633145488385, 367.48485069726075, 24.53518251207148, 7.238385837004328, 0.47963343519105467, 0.1940141765220085]","[899785302.908387, 114811024.86657044, 12267849.036314767, 816609.7341879695, 242212.27367821647, 16295.379397352499, 6604.343590248075]",166711.2
2021-12-20_2021-12-26,59571.16683148157,"[27183.0, 3488.0, 385.0, 22.0, 10.0, 1.0, 1.0]","[27304.809378865975, 3494.5844643266996, 377.7769732025974, 25.50589251450057, 7.59447026891143, 0.7007625946693262, 0.18966638106744566]","[943270072.2147, 120664073.5132063, 13041532.430182157, 879360.1530388793, 263038.7870537439, 23895.71531480362, 5950.875622318134]",170493.0
2021-12-27_2022-01-02,59578.16677905083,"[26632.0, 3392.0, 407.0, 30.0, 10.0, 1.0, 1.0]","[26576.763550739044, 3389.0392379633136, 366.15763619234923, 24.12518049294952, 6.929111000407351, 0.5758687388218756, 0.17806559050933896]","[911698558.6235248, 116216356.21999429, 12568451.435806673, 827542.8699976798, 238694.3685806802, 20184.557258911907, 6094.153837761006]",170233.1
2022-01-03_2022-01-09,59585.16683425926,"[24945.0, 3132.0, 351.0, 24.0, 9.0, 1.0, 0.0]","[24792.41126195201, 3189.747945735509, 340.534265131655, 22.70090498937132, 6.8768974022382245, 0.6193229207103832, 0.15309856465086263]","[844300519.1972146, 108521915.68697697, 11578150.122547515, 770875.2964435833, 234196.90174557175, 20165.831077877698, 4737.467770369843]",163463.5
2022-01-10_2022-01-16,59592.16679201393,"[26999.0, 3456.0, 368.0, 42.0, 11.0, 2.0, 0.0]","[27203.119554348654, 3454.6695821968397, 370.32359425418485, 24.912310034116246, 7.312272954179839, 0.49846014151313583, 0.1466063440673369]","[937748171.6058586, 119130096.68985271, 12775572.226672169, 857476.2471705964, 251511.63876393886, 17607.336958981454, 5581.604463979922]",170638.1
2022-01-17_2022-01-23,59599.16700868019,"[27639.0, 3470.0, 380.0, 27.0, 10.0, 1.0, 0.0]","[27457.004843784423, 3486.291532116158, 376.78854362596536, 24.939745536986198, 7.187529806031012, 0.6245251125986403, 0.2048380710156137]","[922960433.7710365, 117137598.63058114, 12634709.256389258, 834840.346722245, 242905.82687051297, 21179.851037799333, 7004.540687809282]",170195.6
2022-01-24_2022-01-30,59606.16685833294,"[27872.0, 3561.0, 370.0, 27.0, 10.0, 2.0, 0.0]","[28012.523558023946, 3558.7341745070908, 375.0750865806231, 24.47518629544431, 7.576271459532786, 0.5904576285803471, 0.16136144453426615]","[964685540.8012842, 122549901.55556925, 12925073.941696143, 843684.2276042366, 260539.8084329216, 19939.57908403344, 5740.782249911377]",170544.0
2022-01-31_2022-02-06,59613.16693032354,"[27421.0, 3612.0, 434.0, 40.0, 12.0, 2.0, 1.0]","[27578.241412756823, 3525.075636445476, 376.19454077814936, 25.310564458458924, 7.3543311908854445, 0.6130875859075255, 0.1808761054677377]","[949766021.2449136, 121391738.79150464, 12960405.61832959, 871954.0512658444, 254452.44689007563, 21077.282386790957, 6612.110173576321]",170454.9
2022-02-07_2022-02-13,59620.16686990748,"[27422.0, 3478.0, 391.0, 34.0, 6.0, 0.0, 0.0]","[27492.031991705036, 3489.4502941106625, 373.43550676153984, 25.70260874515553, 7.353676271673052, 0.5298206099107913, 0.20114418747957305]","[927874080.8114164, 117828070.11166169, 12618708.367742164, 866719.803553257, 248721.9230867443, 18458.088225885593, 6856.705019386589]",169130.7
2022-02-14_2022-02-20,59627.16690486121,"[27761.0, 3403.0, 376.0, 30.0, 7.0, 0.0, 0.0]","[27770.155828855946, 3522.9609935510125, 375.06011246039674, 24.66287740352251, 7.450892342937993, 0.6687049189953869, 0.1665216626021211]","[919010191.2044, 116617340.45917806, 12432665.170353087, 816821.6143702384, 245568.29668240083, 22094.526501461372, 5471.336079659237]",170487.9
2022-02-21_2022-02-27,59634.16683993064,"[26921.0, 3431.0, 372.0, 23.0, 4.0, 0.0, 0.0]","[26930.483698402255, 3366.0363031282523, 355.90528487004565, 23.753727656339592, 7.386070218293085, 0.528707980418173, 0.17491435444818784]","[917574580.8328547, 114623171.02329358, 12117613.754650705, 808888.7396786644, 252096.57120549688, 18979.326288803102, 5609.550161070246]",170662.6
2022-02-28_2022-03-06,59641.166850115726,"[26935.0, 3260.0, 359.0, 23.0, 3.0, 2.0, 0.0]","[26740.00005304682, 3351.361261618457, 353.2015625964346, 23.280998253841474, 7.15139004151863, 0.6115656233691992, 0.1378547453702654]","[916685804.9288567, 114852671.0381883, 12109142.909650728, 798236.4923847021, 245142.5279534342, 21526.096081807467, 5335.077951699214]",172324.7
2022-03-07_2022-03-13,59648.16671736075,"[24799.0, 3088.0, 308.0, 27.0, 7.0, 1.0, 2.0]","[24777.60905237506, 3059.9464556077787, 315.0991618876765, 20.920472925970937, 6.31249625254701, 0.4573595877807838, 0.12518450255680244]","[839473853.2247452, 103705316.42622168, 10674302.04947022, 709154.1557973569, 214774.8054708454, 15204.824382879598, 4686.5696684936875]",167933.9
2022-03-14_2022-03-20,59655.16690104192,"[25740.0, 3249.0, 312.0, 18.0, 6.0, 1.0, 0.0]","[25657.50639032386, 3158.1192146553776, 318.5426218146444, 21.098173264089166, 6.177415027020599, 0.48934363846936824, 0.1571383317250426]","[885916080.3640549, 108971886.261759, 10985764.544378577, 726082.0325579387, 213085.51339324165, 16754.510547355345, 5542.579868455688]",172284.3
2022-03-21_2022-03-27,59662.16696226853,"[26300.0, 3215.0, 338.0, 24.0, 9.0, 0.0, 0.0]","[26176.161066442342, 3214.132524988313, 326.8792507865752, 20.68419175972574, 6.403383943896624, 0.4296519742308024, 0.1781942886343301]","[894598248.4159374, 109836284.98132549, 11170549.668341227, 706193.4548223112, 217301.2795986688, 15059.5836282765, 6251.898042642573]",170959.0
2022-03-28_2022-04-03,59669.166778935,"[24844.0, 3106.0, 307.0, 20.0, 5.0, 1.0, 0.0]","[24814.230155121208, 3032.433519240695, 310.7685475520457, 19.78160528142494, 6.017423478003122, 0.4218074378429245, 0.1599295991538607]","[854174615.3647667, 104338930.88479696, 10696079.664813414, 680187.1997454118, 205828.20659498096, 14413.369644228706, 5358.84731001498]",171046.0
2022-04-04_2022-04-10,59676.16661817132,"[22023.0, 2562.0, 273.0, 16.0, 5.0, 0.0, 0.0]","[21991.356530525776, 2632.9627510832775, 261.327744186653, 16.756917314206, 5.007200165804485, 0.411571891473567, 0.0977481875561073]","[754080159.5899765, 90250042.8958503, 8954002.388753735, 576702.0838935005, 171501.40470323755, 13595.923271392936, 3349.4777374706337]",172141.4
2022-04-11_2022-04-17,59683.16650127327,"[24624.0, 3016.0, 293.0, 13.0, 4.0, 1.0, 2.0]","[24580.787768675553, 2973.095788410699, 295.1008572795232, 18.625968550275932, 5.670398284080571, 0.4399933148031799, 0.1742610676734582]","[852676282.6848772, 103102471.6280399, 10239496.957954872, 646507.6823557606, 196437.02056485837, 15220.808660754974, 5607.1287385590385]",172164.3
2022-04-18_2022-04-24,59690.16679131911,"[25143.0, 3090.0, 306.0, 35.0, 8.0, 1.0, 0.0]","[25328.815886172153, 3083.6133324661755, 309.25525644837614, 20.000436895995097, 6.0393890154595935, 0.4944098979694084, 0.1558750968271463]","[867472286.8084662, 105501520.2999148, 10584596.470907405, 682198.0040350959, 205966.28944812503, 17278.709931789876, 5187.866880859511]",172178.7
2022-04-25_2022-05-01,59697.16674571783,"[26149.0, 3224.0, 321.0, 33.0, 4.0, 1.0, 0.0]","[26009.479949617467, 3251.3842087811167, 332.32064986533663, 21.61949099337271, 6.48910899874312, 0.5252579207306316, 0.18604569665497017]","[830564800.0634023, 104250890.22553325, 10685742.559366502, 698523.968862266, 209379.8240972144, 15574.445595534944, 6465.701847308868]",171753.6
2022-05-02_2022-05-08,59704.16650463019,"[25742.0, 3336.0, 358.0, 23.0, 8.0, 2.0, 1.0]","[25610.088830064247, 3316.257840384526, 353.05060357878324, 22.687325459833673, 6.535249897618084, 0.517817971068078, 0.14038242466003564]","[886524397.826349, 114715312.28623612, 12216333.16025435, 785106.3975117344, 226742.799735546, 18489.96942727483, 5099.728453303979]",172160.3
2022-05-09_2022-05-15,59711.16671157407,"[25928.0, 3399.0, 366.0, 24.0, 8.0, 1.0, 1.0]","[26173.00078320875, 3373.26527358597, 357.376870275244, 21.63101675896717, 6.441843727092618, 0.5394081280659437, 0.22289909110729741]","[905833067.5111845, 116660403.93133013, 12356010.40302385, 745967.9286232073, 222797.40795316652, 17699.020537610308, 7331.682565878598]",172264.8
2022-05-16_2022-05-22,59718.16637986089,"[26163.0, 3437.0, 361.0, 23.0, 7.0, 0.0, 0.0]","[26027.312225509002, 3400.0597741723395, 359.3916019908782, 23.475233184849714, 6.401676551139586, 0.6142473597374415, 0.17681131224395527]","[874051978.2255493, 114089846.64493223, 12064520.00253383, 790210.6080407079, 213224.32476383745, 20339.180776903795, 5807.596501194157]",170106.6
2022-05-23_2022-05-29,59725.16671539346,"[26924.0, 3374.0, 379.0, 27.0, 10.0, 0.0, 0.0]","[26450.31858469221, 3407.4601303595477, 353.07594833961474, 22.54165881776846, 6.360792209984581, 0.43643177170313857, 0.14386055923293609]","[907323944.89376, 116753647.40101747, 12091273.161789073, 768311.9824932194, 216715.20816169385, 14737.476895427917, 4936.194424425129]",172201.5
2022-05-30_2022-06-05,59732.16694317115,"[26319.0, 3450.0, 352.0, 20.0, 10.0, 0.0, 0.0]","[26223.299988095827, 3391.5843810670676, 353.7321426731986, 22.957908501909095, 6.226328778596432, 0.5518087013087353, 0.20440044587247372]","[877748130.7884636, 113547772.95223777, 11854704.193603199, 768932.5780631569, 209477.09245347948, 17674.153822084634, 6653.200888922801]",168944.1
2022-06-06_2022-06-12,59739.16687361122,"[25683.0, 3274.0, 313.0, 36.0, 10.0, 0.0, 0.0]","[25303.684778442348, 3283.4066233154695, 341.88313034927324, 22.12185764894205, 6.067121531763024, 0.43054601294208444, 0.17196870009268378]","[847313243.5501478, 110084663.60956699, 11494366.016374184, 742324.7910912698, 203986.14757458292, 14590.060063652929, 6271.705617474201]",164961.3
2022-06-13_2022-06-19,59746.1670091434,"[25502.0, 3303.0, 384.0, 28.0, 10.0, 0.0, 1.0]","[25342.439331984784, 3295.6351490141174, 349.5710128928572, 22.82088044835501, 6.429886634978516, 0.4376905573381193, 0.16544753691550756]","[840809812.2385267, 109550015.39219059, 11644345.397435255, 762761.1754824948, 213824.6768820106, 15200.551678250788, 5361.9273272752425]",160174.9
2022-06-20_2022-06-26,59753.167018634485,"[23327.0, 3060.0, 333.0, 22.0, 7.0, 0.0, 0.0]","[23339.92278649053, 2995.421874989453, 310.155374971537, 19.08321397362404, 5.459892641475312, 0.4164058933600303, 0.153157888215291]","[674799558.9884058, 87027365.46554783, 9075482.817000479, 561146.3948857296, 160633.47411708947, 12766.938345829029, 4490.245117352247]",140322.3
