# ra : 49.95, dec : 41.45
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-11-29_2021-12-05,59550.16697291678,"[37275.0, 4244.0, 423.0, 34.0, 11.0, 0.0, 0.0]","[37246.608343796666, 4210.133376537374, 406.80483622193566, 26.526074666052335, 6.873866911568606, 0.5200692539948736, 0.1571558912928387]","[1282247392.2965014, 144792761.21821603, 13995128.742264451, 908969.0174097411, 235623.73124833932, 17963.25339669182, 5319.481347845471]",204818.5
2021-12-06_2021-12-12,59557.16690509248,"[37947.0, 4384.0, 451.0, 28.0, 9.0, 0.0, 0.0]","[38242.06771035355, 4350.20070599907, 425.4963142326559, 27.835966958280586, 7.354074406403042, 0.5249399248601248, 0.17110349878228243]","[1323507122.5316837, 150470448.86172768, 14698574.623662679, 959803.9233927119, 254586.8200979326, 17937.035355974975, 6282.429613716362]",205623.7
2021-12-13_2021-12-19,59564.166788194445,"[38646.0, 4466.0, 387.0, 27.0, 11.0, 0.0, 0.0]","[38625.29612703552, 4376.082132142261, 426.9453882497367, 28.271203824337356, 7.149876444025737, 0.5829532696138275, 0.1943736878220422]","[1338303275.7560759, 151561369.9553425, 14764225.068641715, 977102.1109350448, 248995.40965024635, 20790.726176902877, 7525.698889211468]",201505.2
2021-12-20_2021-12-26,59571.16683148157,"[38813.0, 4344.0, 427.0, 31.0, 9.0, 1.0, 0.0]","[38984.93788102623, 4427.659181197734, 436.51222038459895, 29.04310784713602, 7.2436795522806685, 0.614150379052108, 0.24029641382234093]","[1349927660.289514, 153211486.6929112, 15085402.396474857, 1002005.3143818856, 250588.4571632252, 20052.516312374482, 8525.648328532758]",205631.4
2021-12-27_2022-01-02,59578.16677905083,"[34828.0, 3958.0, 396.0, 19.0, 3.0, 2.0, 0.0]","[34914.41655667597, 3959.043926538563, 391.1029495794034, 26.066553072825183, 6.833009250079596, 0.6327623931757936, 0.1534637878820889]","[1141774753.5344064, 129561230.6873979, 12784587.359573308, 853039.6012366634, 221982.9831238287, 20901.31846158221, 4879.100924780546]",190923.7
2022-01-03_2022-01-09,59585.16683425926,"[38199.0, 4265.0, 399.0, 21.0, 5.0, 0.0, 0.0]","[38232.78054830376, 4345.0123639789135, 423.1770458398586, 28.110559095180992, 7.344669996264314, 0.6281666827457623, 0.21330369163530238]","[1321116220.6165812, 150018430.29143244, 14609001.595199998, 970134.8462866072, 253454.26121346265, 21777.29064382529, 7286.543515969032]",205596.7
2022-01-10_2022-01-16,59592.16679201393,"[38470.0, 4420.0, 443.0, 29.0, 5.0, 0.0, 0.0]","[38662.01322314316, 4365.150302377587, 427.9586274425629, 28.392570461118716, 6.994368765974848, 0.4983121010514293, 0.2607668189878758]","[1336678647.0607166, 150856202.76353654, 14789331.40693317, 981964.786192463, 243182.1536002153, 18163.204449364646, 8758.430537014596]",205795.4
2022-01-17_2022-01-23,59599.16700868019,"[38080.0, 4291.0, 434.0, 29.0, 12.0, 1.0, 0.0]","[37906.015714178335, 4266.404895639457, 416.56019765587973, 27.992450073225157, 6.800169659797942, 0.6802758435152438, 0.1871693020096402]","[1293540415.98278, 145516047.7119439, 14186106.994247718, 952863.9272768915, 232136.91234439533, 22562.721389718747, 6447.759822793986]",194251.7
2022-01-24_2022-01-30,59606.16685833294,"[38696.0, 4280.0, 411.0, 28.0, 7.0, 0.0, 0.0]","[38862.32378803197, 4372.613149865942, 421.4806796824905, 27.632690714995128, 7.15463512360373, 0.6392226038744749, 0.13762143744816763]","[1326417268.7906435, 149215235.44167057, 14378154.364338726, 942574.4569517596, 244907.55734957455, 21743.27080648148, 4523.616868975679]",202989.2
2022-01-31_2022-02-06,59613.16693032354,"[39004.0, 4273.0, 407.0, 31.0, 14.0, 0.0, 0.0]","[38934.36453164817, 4409.360993706923, 428.76429903233435, 28.172681019218377, 7.438099527447133, 0.6151008866463198, 0.22710654400799585]","[1336031306.6316772, 151299189.2999894, 14712840.639939098, 967563.3364830281, 256054.6852285589, 21772.214839640288, 8423.93658179743]",202754.0
2022-02-07_2022-02-13,59620.16686990748,"[39199.0, 4396.0, 435.0, 18.0, 6.0, 0.0, 1.0]","[39350.51118372992, 4433.905177262242, 430.8834880231573, 28.594927745031455, 7.302899383154016, 0.7936258654974518, 0.14427981666202933]","[1354332905.1979516, 152518815.26609153, 14821116.846900912, 987557.4572992236, 251981.97940431163, 27833.394205676195, 5477.775017249041]",201918.3
2022-02-14_2022-02-20,59627.16690486121,"[17404.0, 2053.0, 187.0, 10.0, 2.0, 0.0, 0.0]","[17365.27002807792, 2028.8688762998688, 196.30845008642248, 12.963650002069144, 3.318011503317728, 0.236434319705556, 0.05316983198567703]","[584522417.5728022, 68308935.0474708, 6603546.266028686, 438061.9694025513, 111414.66472001477, 8036.591764883368, 2523.9193155577423]",108371.3
2022-02-21_2022-02-27,59634.16683993064,"[28897.0, 3245.0, 324.0, 30.0, 7.0, 1.0, 0.0]","[28877.503730106542, 3235.2046873187446, 308.6188606266919, 19.987564442986468, 5.059596342180922, 0.4608166257361165, 0.14188497005321316]","[988057374.7274233, 110795125.07408695, 10571273.702532982, 685520.6531534798, 174084.99637342306, 16308.802982713674, 4841.160300481688]",159667.2
2022-02-28_2022-03-06,59641.166850115726,"[37649.0, 4290.0, 363.0, 28.0, 10.0, 2.0, 0.0]","[37864.95908004881, 4227.72365420298, 404.436896943364, 25.820669717306302, 7.185223868605675, 0.6566103151361864, 0.18169511211513115]","[1297266500.1519105, 144901683.9837386, 13879686.54413044, 886985.4879008818, 246556.50480611832, 22238.593034353293, 6073.760089762613]",204098.1
2022-03-07_2022-03-13,59648.16671736075,"[31458.0, 3435.0, 321.0, 14.0, 1.0, 1.0, 0.0]","[31550.678325294073, 3464.2929214614414, 319.5947912055564, 20.178799829359072, 5.267841796498206, 0.37401811051868133, 0.18542723072203404]","[1057153528.1703036, 115960706.9567015, 10701910.735539518, 674904.6856013811, 177687.88167358068, 11942.408946209081, 5938.046452984542]",178655.7
2022-03-14_2022-03-20,59655.16690104192,"[36479.0, 3918.0, 341.0, 26.0, 7.0, 0.0, 0.0]","[36407.84109031103, 3971.6968240321116, 365.4785206730054, 22.156041831047293, 5.707727459042903, 0.4504857386399056, 0.14206881898024165]","[1242131947.9698489, 135429132.15579388, 12477404.174287511, 757568.8636867935, 193776.02214160818, 15751.544320027839, 5658.098390211762]",204033.6
2022-03-21_2022-03-27,59662.16696226853,"[36726.0, 3942.0, 346.0, 30.0, 9.0, 1.0, 0.0]","[36991.08453904474, 4020.1229160262537, 368.781230576387, 23.43207186626294, 5.643502059471294, 0.4876727697250669, 0.15603060351583298]","[1258506117.6829834, 136889360.30687004, 12579514.9581309, 798707.6079071604, 194594.78647325176, 17144.943439856896, 5445.906649743301]",204042.4
2022-03-28_2022-04-03,59669.166778935,"[32748.0, 3524.0, 336.0, 25.0, 5.0, 1.0, 0.0]","[32789.589525567666, 3540.3954841439804, 323.64309372552174, 20.36652351472613, 5.104387046976862, 0.4772640597002473, 0.10144663034491316]","[1111333253.487548, 120064964.65502903, 10997631.866482176, 691564.3741652324, 174076.7337832954, 16917.740008066838, 3450.0995190545436]",187973.5
2022-04-04_2022-04-10,59676.16661817132,"[20838.0, 2193.0, 212.0, 17.0, 3.0, 0.0, 0.0]","[20685.881630163345, 2231.805355153267, 203.6935294764358, 12.90440547813863, 3.505424933441853, 0.325321766110567, 0.042340980369653836]","[678031376.7504364, 72855362.45993148, 6640878.043866719, 419561.2900869172, 114095.76312907599, 10936.72673481015, 1619.5863593724766]",147631.3
2022-04-11_2022-04-17,59683.16650127327,"[34656.0, 3712.0, 319.0, 16.0, 6.0, 0.0, 0.0]","[34595.51401374912, 3675.696816703256, 329.7924220631186, 19.472792745760078, 5.3327091708622, 0.5118339218024393, 0.16000387289302667]","[1183098678.7381961, 125666394.90097247, 11278387.91970428, 668854.2649595046, 182561.67807153685, 16998.34939358083, 5626.346869353006]",203986.9
2022-04-18_2022-04-24,59690.16679131911,"[31096.0, 3493.0, 320.0, 16.0, 9.0, 0.0, 0.0]","[31041.208747054832, 3352.6948320802503, 302.7067212632825, 18.737571018000676, 5.167452109301491, 0.3611067274816536, 0.15136424674988352]","[1062683697.5396981, 114935948.89197385, 10407733.333113616, 647669.8131671111, 178464.54635590597, 12547.726347739244, 4890.445109305252]",181850.0
2022-04-25_2022-05-01,59697.16674571783,"[15540.0, 1692.0, 162.0, 5.0, 4.0, 0.0, 0.0]","[15524.077216542892, 1723.067962883332, 163.06323113640588, 9.844809588243383, 2.424501860966544, 0.21025013592343833, 0.03373018717890737]","[530613217.1666425, 58878324.52236801, 5570749.352167669, 335936.9160832097, 83600.43537170431, 7238.819736110643, 1646.506984783699]",90207.6
2022-05-02_2022-05-08,59704.16650463019,"[31058.0, 3499.0, 328.0, 24.0, 4.0, 0.0, 0.0]","[30995.076043346784, 3593.0038471995895, 350.0315940045983, 22.635827962493227, 5.6186598149298, 0.5039781633177767, 0.1752616679293134]","[1068808379.2276719, 123888152.8264031, 12076526.37188822, 780580.7381697096, 194013.15157770185, 16483.26199624545, 6457.423120249409]",183573.7
2022-05-09_2022-05-15,59711.16671157407,"[35327.0, 4097.0, 412.0, 29.0, 5.0, 1.0, 1.0]","[35360.28990060909, 4046.092711188416, 386.0583286980147, 24.108215426229666, 5.487344239904348, 0.5510498863333685, 0.1725693843651721]","[1208052497.7458951, 138292824.5816154, 13193752.070582258, 825136.2712540396, 187997.32750523093, 17823.46146803968, 5850.785788691071]",193043.3
2022-05-16_2022-05-22,59718.16637986089,"[21414.0, 2522.0, 268.0, 21.0, 3.0, 0.0, 0.0]","[21424.82449832846, 2501.0412009124525, 243.644124512476, 15.922539835969019, 3.6196763903881726, 0.2183383854680421, 0.07707695849592139]","[731144775.5488853, 85071847.07742909, 8289016.4024856165, 541896.7705425314, 122227.97848891417, 6984.081461968798, 2347.6539587668603]",126854.6
2022-05-23_2022-05-29,59725.16671539346,"[26596.0, 3013.0, 284.0, 15.0, 6.0, 0.0, 0.0]","[26497.808778180846, 3039.9276653597917, 285.6848669253229, 17.53827277539023, 4.303241115928326, 0.3554516653099204, 0.10252299491646502]","[910680041.1469444, 104264857.65615943, 9778689.771179771, 602810.3455572126, 147673.87332500416, 11824.237448846396, 3514.718341338686]",151700.6
2022-05-30_2022-06-05,59732.16694317115,"[36529.0, 4235.0, 440.0, 34.0, 4.0, 0.0, 0.0]","[36597.33631657553, 4219.200327379456, 404.7303389158121, 24.83067734515281, 5.728059690794708, 0.5114148491215825, 0.21469070071619276]","[1242783065.2185905, 143197877.9907657, 13717234.865824487, 837974.8164797135, 193854.98520467366, 18861.929280086948, 6560.0040444402575]",203446.3
2022-06-06_2022-06-12,59739.16687361122,"[36455.0, 4157.0, 396.0, 29.0, 6.0, 0.0, 1.0]","[36257.75039659422, 4204.622293286088, 405.41835557639143, 25.50773014082367, 5.479014624992372, 0.37646025711231645, 0.16529716136494083]","[1240210494.8889565, 143659443.09508893, 13828729.910610538, 868982.1840871855, 186072.86533779468, 12435.160995965434, 5507.487001726765]",204160.3
