# ra : 104.06, dec : 42.6
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-11-15_2021-11-21,59536.16684085637,"[37969.0, 4362.0, 366.0, 32.0, 8.0, 0.0, 0.0]","[38061.19252558188, 4327.32232876246, 419.15428600777847, 28.60291970440432, 6.719252282947429, 0.5616101129122946, 0.17222132983612506]","[1299247691.935675, 147583963.47717288, 14286873.044803442, 977292.9347804548, 228845.6033289024, 19872.52218079318, 5758.059915630276]",204476.8
2021-11-22_2021-11-28,59543.166822106185,"[37339.0, 4204.0, 402.0, 30.0, 9.0, 3.0, 0.0]","[37195.46964330055, 4215.934275288937, 416.4523238021787, 28.54361927219316, 6.984125209518271, 0.5234835197114639, 0.18116907115620237]","[1281891179.0223799, 145220295.08761618, 14352486.99949206, 982839.8610229045, 241690.35905122283, 17966.88767796047, 6723.801204510494]",205865.5
2021-11-29_2021-12-05,59550.16697291678,"[36609.0, 4219.0, 413.0, 24.0, 3.0, 3.0, 0.0]","[36538.096015137446, 4147.564176615048, 400.99684242237197, 27.802732236235077, 6.592454840857378, 0.6072203037465482, 0.2051485976854439]","[1237150421.3571389, 140379385.70630583, 13565418.068316743, 939757.4691415956, 224235.16129675205, 19200.13305814901, 7312.2620778686605]",206237.7
2021-12-06_2021-12-12,59557.16690509248,"[37240.0, 4433.0, 398.0, 25.0, 9.0, 0.0, 0.0]","[37543.56949817625, 4284.297575913146, 419.7914285069605, 28.80084784652123, 6.808518653133061, 0.6416583785135713, 0.1642878954544648]","[1287347168.763467, 146788282.67661533, 14369931.658360798, 984047.980609246, 232906.08864297534, 21054.60039766188, 6022.870129452856]",206171.0
2021-12-13_2021-12-19,59564.166788194445,"[38281.0, 4432.0, 381.0, 23.0, 5.0, 0.0, 0.0]","[38185.10631934281, 4324.388317741284, 422.42271862676046, 28.21011366886182, 6.736547380216602, 0.5439239977441794, 0.2229799974719563]","[1315513438.3468657, 148975772.46566162, 14567935.59535196, 971798.889325069, 232081.1259413785, 19446.696044805005, 7880.492874359149]",206264.6
2021-12-20_2021-12-26,59571.16683148157,"[38576.0, 4416.0, 446.0, 30.0, 7.0, 1.0, 0.0]","[38689.35861033586, 4408.105261505604, 432.80987586726445, 31.544418923312747, 6.770154523118157, 0.6614699555852442, 0.18673604439023703]","[1336830629.8372176, 152303082.9320425, 14946856.393945577, 1089602.8396265511, 232843.14916127446, 21408.501779471953, 5919.4083373940675]",206154.3
2021-12-27_2022-01-02,59578.16677905083,"[37525.0, 4220.0, 414.0, 33.0, 9.0, 0.0, 0.0]","[37362.97629179079, 4223.484350742776, 416.0482535203141, 30.365240319213715, 6.7842146775520344, 0.672112591587575, 0.18500634901947538]","[1263794991.5728016, 142747162.53788334, 14031435.01192124, 1020834.6520159667, 230237.45614777025, 21254.73148110166, 5969.90470868626]",204326.7
2022-01-03_2022-01-09,59585.16683425926,"[38087.0, 4306.0, 385.0, 34.0, 5.0, 1.0, 0.0]","[38200.63033148854, 4325.550515097717, 420.35313498953286, 29.592529764337705, 7.389584208783926, 0.5918292063900064, 0.18973871636973366]","[1305720505.7670527, 147873518.01231974, 14363437.979914337, 1010767.7774002445, 250959.10206070633, 20288.541118356563, 6279.145466433401]",206150.1
2022-01-10_2022-01-16,59592.16679201393,"[38891.0, 4480.0, 433.0, 25.0, 10.0, 4.0, 0.0]","[38819.477123198405, 4381.632859972294, 424.2955780584454, 30.52480965887854, 7.138396955988261, 0.6183666897417567, 0.2427297349420923]","[1344194385.195798, 151716845.73072988, 14669406.702503057, 1055774.3404129308, 245332.45894975017, 22352.992688254675, 7033.991566979072]",206289.4
2022-01-17_2022-01-23,59599.16700868019,"[39408.0, 4476.0, 419.0, 31.0, 7.0, 0.0, 0.0]","[39336.88863840316, 4431.475773844284, 428.9278904382201, 29.862429660272454, 6.768015772272364, 0.6092904599331146, 0.18400834289503834]","[1358050531.177957, 152813234.26637378, 14782602.75382126, 1029584.3051282858, 232414.21831177815, 20885.685155166928, 6284.10781719917]",206250.4
