source_id,survey,asas_sn_id,mjd,jd,phot_filter,mag,mag_err,flux,flux_err,limit,fwhm,image_id,camera,quality
mkn421,ASAS-SN Sky Patrol,128849645138,59383.2487424002,2459383.7487424,g,13.155271912109132,0.005180061797493814,19.85717595264926,0.09463248667375677,17.212539980766792,1.74,bC243935,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59385.14746499993,2459385.647465,g,13.139785930754599,0.004463340895787398,20.14243062958887,0.08271033162003634,17.358741206202946,1.98,bs352249,bs,B
mkn421,ASAS-SN Sky Patrol,128849645138,59387.16796969995,2459387.6679697,g,13.16335140432962,0.008454603400752176,19.709957470816974,0.15330868358453395,16.688723725186208,1.58,bs352780,bs,B
mkn421,ASAS-SN Sky Patrol,128849645138,59390.16055609984,2459390.6605561,g,13.12279814261063,0.019550454738068556,20.460064188336283,0.36800327414388223,15.738011404865077,2.03,bs353546,bs,B
mkn421,ASAS-SN Sky Patrol,128849645138,59398.12499759998,2459398.6249976,g,13.015664248486608,0.02096165922496744,22.581903621264292,0.4354858348912003,15.555205528402363,1.54,bs354238,bs,B
mkn421,ASAS-SN Sky Patrol,128849645138,59495.50044430001,2459496.0004443,g,12.901298867524124,0.022144020135811068,25.09034897846763,0.5111530975542168,15.381263119105718,1.41,bs375402,bs,B
mkn421,ASAS-SN Sky Patrol,128849645138,59498.50215530023,2459499.0021553,g,12.809658586353725,0.009351789746470876,27.300010518502333,0.234879641769839,16.225527171777617,1.57,bs376612,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59498.633049599826,2459499.1330496,g,12.792217494082205,0.004445366939916499,27.74209478821864,0.1134578877343308,17.015553876526294,1.45,bC281190,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59501.63897910016,2459502.1389791,g,12.809340716871043,0.004792654427831989,27.30800427481835,0.12040760139472602,16.951005848880662,1.43,bC282064,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59511.4699426,2459511.9699426,g,13.208588307604893,0.009376146342609993,18.90562006427942,0.1630809115868302,16.621632785445655,1.64,bs381362,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59516.47861160012,2459516.9786116,g,13.288906518456349,0.007913341918614128,17.55753899015626,0.12782370453622507,16.8861121115761,1.43,bs382936,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59519.58842650009,2459520.0884265,g,13.287052232437205,0.004893766159256277,17.587550438537228,0.07918381042750028,17.406049619612386,1.42,bC288906,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59522.569422299974,2459523.0694223,g,13.305638076028675,0.005043006756886025,17.28904554998433,0.08021367164638675,17.39201962169939,1.58,bC290156,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59524.5791321001,2459525.0791321,g,13.292731121818553,0.004788778618489458,17.495799785862722,0.0770808309736789,17.435274641588144,1.49,bC291025,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59528.5703582,2459529.0703582,g,13.295514748574778,0.004704655962488135,17.45100124424648,0.0755328804907215,17.457300493722443,1.41,bC292655,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59530.55861999979,2459531.05862,g,13.188392497450074,0.003722092054558534,19.260575072765224,0.0659544627690022,17.604530143564194,1.41,bC293502,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59536.55739009986,2459537.0573901,g,13.101698343114967,0.005604525557342573,20.86156626346319,0.10756564678659304,17.0734566290542,1.48,bC294744,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59540.39532750007,2459540.8953275,g,13.017954442407326,0.013983286363924426,22.534320762717975,0.2898955514222843,15.997036734037597,1.53,bs391754,bs,B
mkn421,ASAS-SN Sky Patrol,128849645138,59543.55005719978,2459544.0500572,g,13.06853827147668,0.004144881188475611,21.508540438290527,0.0820183170818984,17.3678634768477,1.45,bC297769,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59585.422797699925,2459585.9227977,g,12.72641151255208,0.004548651435908223,29.47553142515642,0.12334800487390005,16.924810288273488,1.47,bC299958,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59587.415298299864,2459587.9152983,g,12.711898571987465,0.004625909195947059,29.872173299709964,0.12713108427644834,16.892011233892323,1.57,bC300827,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59589.59653799981,2459590.096538,g,12.630080976235014,0.004763652504556133,32.21023240818942,0.14116328594091815,16.778336213607325,1.42,bC301622,bC,G
