source_id,survey,mjd,value,value_err,band,instrument,unit,source_catalog,source_url
mkn421,CDS/VizieR A&A 684 A127,59703.5574,11.0,0.365,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59703.5574,9.69,0.322,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59703.974,5.27e-11,3.89e-12,0.2-1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59703.996,1.48e-12,3.53e-13,>1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.0,0.28,0.01,86GHz,IRAM,Jy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.0,3.0,0.7,86GHz,IRAM,%(PolarizationDegree),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.0,237.0,7.0,86GHz,IRAM,deg(PolarizationAngle),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.0,16.1,3.28,R-band,KANATA,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.0,3.35,0.253,R-band,KANATA,%(PolarizationDegree),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.0,201.0,0.45,R-band,KANATA,deg(PolarizationAngle),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.0199,33.0,0.413,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.0199,11.3,0.386,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.0216,10.6,0.353,M2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.0216,11.0,0.365,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.0216,9.43,0.313,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.03,10.6,0.02,2-10keV,XMM-Newton,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.1748,32.8,2.97,H-band,Perkins,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.1748,2.88,0.83,H-band,Perkins,%(PolarizationDegree),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.1748,212.0,8.19,H-band,Perkins,deg(PolarizationAngle),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.441,15.0,2.0,2-8keV,IXPE,%(PolarizationDegree),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.441,215.0,4.0,2-8keV,IXPE,deg(PolarizationAngle),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.6199,35.9,0.55,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.6199,12.1,0.386,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.6225,10.9,0.363,M2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.6225,11.3,0.376,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.6225,9.87,0.328,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.9444,5.95e-11,5.6e-12,0.2-1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.9444,1.46e-12,5.33e-13,>1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.9911,17.1,0.0164,R-band,T90,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.9918,17.2,0.0185,R-band,T90,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59704.9925,17.1,0.0164,R-band,T90,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59705.5,7.94e-08,1.62e-08,0.3-300GeV,Fermi-LAT,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59706.0,0.25,0.1,230GHz,IRAM,Jy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59706.0,0.38,0.02,86GHz,IRAM,Jy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59706.0,2.2,0.5,86GHz,IRAM,%(PolarizationDegree),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59706.0,212.0,8.0,86GHz,IRAM,deg(PolarizationAngle),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59706.0131,47.1,0.525,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59706.0131,16.4,0.511,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59706.0138,11.7,0.388,M2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59706.0138,12.1,0.401,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59706.0138,10.1,0.337,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59706.0193,6.03e-11,7.91e-12,0.2-1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59706.0193,2.51e-12,8.39e-13,>1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59707.208,58.6,0.603,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59707.208,25.3,0.611,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59707.2104,12.1,0.402,M2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59707.2104,12.3,0.408,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59707.2104,10.6,0.353,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59707.696,0.41,0.12,37GHz,Metsahovi,Jy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59708.2381,30.2,2.76,H-band,Perkins,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59708.2381,3.12,0.758,H-band,Perkins,%(PolarizationDegree),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59708.2381,181.0,6.92,H-band,Perkins,deg(PolarizationAngle),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59708.5,7e-08,1.53e-08,0.3-300GeV,Fermi-LAT,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
